#key	name	year	genre	developer	players
2020bb	2020 Super Baseball	1991	Sports / Baseball/Sports	Pallas	1-2
3countb	3 Count Bout	1993	Sports / Wrestling/Fighting / 2D/Sports/Fighting	SNK	1-2
abyssal	Abyssal Infants	2021	Shooter	kakoeimon	1-2
alpham2	Alpha Mission II	1991	Shoot'em Up / Vertical/Shoot'em Up	SNK	1-2
androdun	Andro Dunos	1992	Shoot'em Up / Horizontal/Shoot'em Up	Visco	1-2
aodk	Aggressors of Dark Kombat	1994	Fighting/Fighting / Versus	ADK	1-2
aof	Art of Fighting	1992	Fighting / Versus/Fighting	SNK	1-2
aof2	Art of Fighting 2	1994	Fighting / Versus/Fighting	SNK	1-2
aof3	Art of Fighting 3 : The Path of the Warrior	1996	Fighting / Versus/Fighting	SNK	1-2
b2b	Bang Bang Busters	2011	Platform/Platform / Run & Jump	Visco	1-2
bakatono	Bakatonosama Mahjong Manyuuki	1991	Asiatic board game/Mahjong	Monolith	1
bangbead	Bang Bead	2000	Sports	Visco	1-2
bjourney	Blue's Journey	1991	Platform/Platform / Fighter Scrolling	ADK	1-2
blazstar	Blazing Star	1998	Shoot'em Up / Horizontal/Shoot'em Up	Yumekobo	1-2
breakers	Breakers	1996	Fighting/Fighting / Versus	Visco	1-2
breakrev	Breakers Revenge	1998	Fighting/Fighting / Versus	Visco	1-2
bstars	Baseball Stars Professional	1990	Sports/Sports / Baseball	SNK	1-2
bstars2	Baseball Stars 2	1992	Sports/Sports / Baseball	SNK	1-2
burningf	Burning Fight	1991	Beat'em Up	SNK	1-2
cabalng	Cabal	2020	Shooter / TPV/Shooter	iq_132	1-2
columnsn	Columns (Neo-Geo)	2002	Puzzle / Fall/Puzzle	Jeff Kurtz	1
crswd2bl	Crossed Swords II	1995	Adventure	Neobitz	1-2
crsword	Crossed Swords	1991	Adventure	ADK	1-2
ctomaday	Captain Tomaday	1999	Shoot'em Up / Vertical/Shoot'em Up	Visco	1-2
cyberlip	Cyber-Lip	1990	Shooter / Run and Gun/Platform/Platform / Shooter Scrolling/Shooter	SNK	1-2
cyborgforce	Cyborg Force!	2024	Shooter / Run and Gun/Shooter	OzzyOuzo	1-2
diggerma	Digger Man	2000	Action / Labyrinth/Action	Kyle Hodgetts	1-2
doubledr	Double Dragon	1995	Fighting/Fighting / Versus	Technos Japan	1-2
dragonsh	Dragon's Heaven	1997	Fighting	FACE	1-2
eightman	Eight Man	1991	Beat'em Up/Platform / Fighter Scrolling/Platform	SNK	1-2
fatfursp	Fatal Fury Special	1993	Fighting/Fighting / Versus	SNK	1-2
fatfury1	Fatal Fury : King of Fighters	1991	Fighting / Versus/Fighting	SNK	1-2
fatfury2	Fatal Fury 2	1993	Fighting / Versus/Fighting	SNK	1-2
fatfury3	Fatal Fury 3: Road to the Final Victory	1995	Fighting / Versus/Fighting	SNK	1-2
fbfrenzy	Football Frenzy	1992	Sports/Sports / Football (American)	SNK	1-2
fightfev	Fight Fever	1994	Fighting/Fighting / Versus	Viccom	1-2
flipshot	Battle Flip Shot	1998	Sports	Visco	1-2
frogfest	Frog Feast	2006		Rastersoft (Ho	1-2
froman2b	Idol Mahjong Final Romance 2	1995	Asiatic board game/Mahjong		1-2
fswords	Samurai Shodown III	1995	Fighting / Versus/Fighting	SNK	1-2
galaxyfg	Galaxy Fight: Universal Warriors	1995	Fighting/Fighting / Versus	Sunsoft	1-2
ganryu	Ganryu	1999	Platform / Fighter Scrolling/Platform	Visco	1-2
garou	Garou: Mark of the Wolves	1999	Fighting / Versus/Fighting	SNK	1-2
ghostlop	Ghostlop	1996	Puzzle/Puzzle / Throw	Data East	1-2
gladmort	GladMort	2024	Platform	Chipsonsteroids	1
goalx3	Goal! Goal! Goal!	1995	Sports/Sports / Football (Soccer)	Visco	1-2
gowcaizr	Voltage Fighter Gowcaizer	1995	Fighting/Fighting / Versus	Technos Japan	1-2
gpilots	Ghost Pilots	1991	Shoot'em Up / Vertical/Shoot'em Up	SNK	1-2
gururin	Gururin	1994	Puzzle/Puzzle / Fall	FACE	1-2
hyprnoid	Hypernoid	2022	Action / Breakout games/Action	NeoHomeBrew	1
ironclad	Ironclad	1996	Shoot'em Up / Horizontal/Shoot'em Up	Saurus	1-2
irrmaze	The Irritating Maze	1997	Action / Labyrinth/Action	Saurus	1-2
janshin	Janshin Densetsu - Quest of Jongmaster	1994	Mahjong/Mahjong/Asiatic board game	Aicom Corporation	1
jockeygp	Jockey Grand Prix	2001	Sports with animals/Horse racing	BrezzaSoft	1-2
joyjoy	Puzzled	1991	Puzzle/Puzzle / Fall	SNK	1-2
kabukikl	Far East of Eden: Kabuki Klash	1995	Fighting / Versus/Fighting	Racdym	1-2
karnovr	Karnov's Revenge	1994	Fighting / Versus/Fighting	Data East	1-2
kizuna	Kizuna Encounter : Super Tag Battle	1996	Fighting / Versus/Fighting	SNK	1-2
knightsch	Knight's Chance	2013	Playing cards	Neobitz	1
kof2000	The King of Fighters 2000	2000	Fighting/Fighting / Versus	SNK	1-2
kof2001	The King of Fighters 2001	2002	Fighting/Fighting / Versus	SNK	1-2
kof2002	The King of Fighters 2002	2002	Fighting / Versus/Fighting	SNK	1-2
kof2003	The King of Fighters 2003	2004	Fighting/Fighting / Versus	SNK	1-2
kof94	The King of Fighters '94	1994	Fighting/Fighting / Versus	SNK	1-2
kof95	The King of Fighters '95	1995	Fighting/Fighting / Versus	SNK	1-2
kof96	The King of Fighters '96	1996	Fighting/Fighting / Versus	SNK	1-2
kof97	The King of Fighters '97	1997	Fighting/Fighting / Versus	SNK	1-2
kof98	The King of Fighters '98 : The Slugfest	1998	Fighting/Fighting / Versus	SNK	1-2
kof99	The King of Fighters '99 : Millennium Battle	1999	Fighting/Fighting / Versus	SNK	1-2
kotm	King of the Monsters	1991	Fighting/Beat'em Up	SNK	1-2
kotm2	King of the Monsters 2 : The Next Thing	1992		SNK	1-2
lastblad	The Last Blade	1998	Fighting/Fighting / Versus	SNK	1-2
lastbld2	The Last Blade 2	1999	Fighting/Fighting / Versus	SNK	1-2
lasthope	Last Hope	2006	Shoot'em Up / Horizontal/Shoot'em Up	NG:Dev.Team	1
lastsold	The Last Blade	1998	Fighting/Fighting / Versus	SNK	1-2
lbowling	League Bowling	1990	Sports / Bowling/Sports	SNK	1-4
legendos	Legend of Success Joe	1991	Beat'em Up/Fighting / 2D/Fighting	Wave	1-2
looptris	Looptris	2021	Puzzle / Fall/Puzzle	Blastar	2
lresort	Last Resort	1992	Shoot'em Up / Horizontal/Shoot'em Up	SNK	1-2
magdrop2	Magical Drop II	1996	Puzzle/Puzzle / Throw	Data East	1-2
magdrop3	Magical Drop III	1997	Puzzle/Puzzle / Throw	Data East	1-2
maglord	Magician Lord	1990	Platform / Shooter Scrolling/Platform	ADK	1-2
mahretsu	Mahjong Kyo Retsuden	1990	Mahjong/Asiatic board game	SNK	1
marukodq	Chibi Marukochan Deluxe Quiz	1995	Quiz/Quiz / Japanese	Takara	1-2
matrim	Matrimelee	2002	Fighting / Versus/Fighting	Noise Factory	1-2
miexchng	Money Puzzle Exchanger	1997	Puzzle / Throw/Puzzle	SNK	1-2
minasan	Minasan no Okagesamadesu! Dai Sugoroku Taikai	1990	Asiatic board game	Monolith	1
mslug	Metal Slug : Super Vehicle-001	1996	Shooter / Run and Gun/Shooter/Platform/Platform / Shooter Scrolling	Nazca	1-2
mslug2	Metal Slug 2 : Super Vehicle-001/II	1998	Shooter / Run and Gun/Shooter/Platform/Platform / Shooter Scrolling	SNK	1-2
mslug3	Metal Slug 3	2001	Shooter / Run and Gun/Shooter	SNK	1-2
mslug3b6	Metal Slug 6	2006	Shooter / Run and Gun/Platform/Shooter/Platform / Shooter Scrolling	SNK Playmore	1-2
mslug4	Metal Slug 4	2002	Shooter / Run and Gun/Shooter/Platform/Platform / Shooter Scrolling	MEGA Enterprise	1-2
mslug5	Metal Slug 5	2003	Shooter / Run and Gun/Shooter/Platform/Platform / Shooter Scrolling	SNK	1-2
