#name	crc	size	key
2020 Super Baseball			2020bb
2020 Super Baseball (2020bb)			2020bb
2020 Super Baseball (2020bba)			2020bb
2020 Super Baseball (2020bbh)			2020bb
2020 Super Baseball (set 2)			2020bb
2020 Super Baseball (set 2) (2020bba)			2020bb
2020 Super Baseball (set 3)			2020bb
2020 Super Baseball (set 3) (2020bbh)			2020bb
2020bb			2020bb
2nd Squad			shocktr2
2nd Squad (shocktr2)			shocktr2
3 Count Bout			3countb
3 Count Bout (3countb)			3countb
3countb			3countb
ASO II			alpham2
ASO II (alpham2)			alpham2
ASO II (alpham2p)			alpham2
ASO II - Last Guardian			alpham2
ASO II - Last Guardian (alpham2)			alpham2
ASO II - Last Guardian (prototype)			alpham2
ASO II - Last Guardian (prototype) (alpham2p)			alpham2
ASO II: Last Guardian			alpham2
ASO II: Last Guardian (alpham2)			alpham2
ASO II: Last Guardian (prototype)			alpham2
ASO II: Last Guardian (prototype) (alpham2p)			alpham2
Abyssal Infants			abyssal
Abyssal Infants (abyssal)			abyssal
Aero Fighters 2			sonicwi2
Aero Fighters 2 (sonicwi2)			sonicwi2
Aero Fighters 3			sonicwi3
Aero Fighters 3 (sonicwi3)			sonicwi3
Aggressors of Dark Kombat			aodk
Aggressors of Dark Kombat (aodk)			aodk
Alpha Mission II			alpham2
Alpha Mission II (alpham2)			alpham2
Alpha Mission II (alpham2p)			alpham2
Alpha Mission II (prototype)			alpham2
Alpha Mission II (prototype) (alpham2p)			alpham2
Amakusa Kourin			samsho4
Amakusa Kourin (samsho4)			samsho4
Amakusa's Revenge			samsho4
Amakusa's Revenge (samsho4)			samsho4
Andro Dunos			androdun
Andro Dunos (androdun)			androdun
Arata-naru Tatakai			fatfury2
Arata-naru Tatakai (fatfury2)			fatfury2
Art of Fighting			aof
Art of Fighting (aof)			aof
Art of Fighting (aof3)			aof3
Art of Fighting - Ryuuko no Ken Gaiden			aof3
Art of Fighting - Ryuuko no Ken Gaiden (aof3)			aof3
Art of Fighting 2			aof2
Art of Fighting 2 (NGH-056)			aof2
Art of Fighting 2 (NGH-056) (aof2a)			aof2
Art of Fighting 2 (aof2)			aof2
Art of Fighting 2 (aof2a)			aof2
Art of Fighting 3			aof3
Art of Fighting 3 (aof3)			aof3
Art of Fighting 3 (aof3k)			aof3
Art of Fighting 3 - The Path of the Warrior			aof3
Art of Fighting 3 - The Path of the Warrior (Korean release)			aof3
Art of Fighting 3 - The Path of the Warrior (Korean release) (aof3k)			aof3
Art of Fighting 3 - The Path of the Warrior (aof3)			aof3
Art of Fighting 3: The Path of the Warrior			aof3
Art of Fighting 3: The Path of the Warrior (Korean release)			aof3
Art of Fighting 3: The Path of the Warrior (Korean release) (aof3k)			aof3
Art of Fighting 3: The Path of the Warrior (aof3)			aof3
Art of Fighting 3: The Path of the Warrior (aof3k)			aof3
Art of Fighting: Ryuuko no Ken Gaiden			aof3
Art of Fighting: Ryuuko no Ken Gaiden (aof3)			aof3
Ashita no Joe Densetsu			legendos
Ashita no Joe Densetsu (legendos)			legendos
Bakatonosama Mahjong Manyuuki			bakatono
Bakatonosama Mahjong Manyuuki (bakatono)			bakatono
Bakumatsu Roman			lastbld2
Bakumatsu Roman (lastblad)			lastblad
Bakumatsu Roman (lastbladh)			lastblad
Bakumatsu Roman (lastbld2)			lastbld2
Bakumatsu Roman (lstbladh)			lastblad
Bakumatsu Roman - Dai Ni Maku Gekka no Kenshi			lastbld2
Bakumatsu Roman - Dai Ni Maku Gekka no Kenshi (lastbld2)			lastbld2
Bakumatsu Roman - Gekka no Kenshi			lastblad
Bakumatsu Roman - Gekka no Kenshi (NGH-2340)			lastblad
Bakumatsu Roman - Gekka no Kenshi (NGH-2340) (lastbladh)			lastblad
Bakumatsu Roman - Gekka no Kenshi (NGH-2340) (lstbladh)			lastblad
Bakumatsu Roman - Gekka no Kenshi (lastblad)			lastblad
Bakumatsu Roman: Dai Ni Maku Gekka no Kenshi			lastbld2
Bakumatsu Roman: Dai Ni Maku Gekka no Kenshi (lastbld2)			lastbld2
Bakumatsu Roman: Gekka no Kenshi			lastblad
Bakumatsu Roman: Gekka no Kenshi (NGH-2340)			lastblad
Bakumatsu Roman: Gekka no Kenshi (NGH-2340) (lastbladh)			lastblad
Bakumatsu Roman: Gekka no Kenshi (NGH-2340) (lstbladh)			lastblad
Bakumatsu Roman: Gekka no Kenshi (lastblad)			lastblad
Bang Bang Busters			b2b
Bang Bang Busters (b2b)			b2b
Bang Bead			bangbead
Bang Bead (bangbead)			bangbead
Baseball Stars 2			bstars2
Baseball Stars 2 (bstars2)			bstars2
Baseball Stars Professional			bstars
Baseball Stars Professional (NGH-002)			bstars
Baseball Stars Professional (NGH-002) (bstarsh)			bstars
Baseball Stars Professional (bstars)			bstars
Baseball Stars Professional (bstarsh)			bstars
Battle Flip Shot			flipshot
Battle Flip Shot (flipshot)			flipshot
Big Tournament Golf			turfmast
Big Tournament Golf (turfmast)			turfmast
Blazing Star			blazstar
Blazing Star (blazstar)			blazstar
Blue's Journey			bjourney
Blue's Journey (bjourney)			bjourney
Breakers (breakers)			breakers
Breakers Revenge			breakrev
Breakers Revenge (breakrev)			breakrev
Burning Fight			burningf
Burning Fight (NGH-018, US)			burningf
Burning Fight (NGH-018, US) (brningfh)			burningf
Burning Fight (NGH-018, US) (burningfh)			burningf
Burning Fight (brningfh)			burningf
Burning Fight (brningfp)			burningf
