#key	synopsis
2020bb	Im Jahr 2020 entwickelte sich schließlich Baseball. Im Jahr 2020 gibt es keinen konventionellen Profi-Baseball mehr. Baseball, der von der Super Baseball Association entworfen wurde, war sehr beliebt und ist die beste Sportart. Die Wahrheit ist jedoch, dass der Verband eine gewaltige Geldsumme verwendet hat, um für Super Baseball als Showbusiness zu werben. Sie haben die Fähigkeit jedes Spielers manipuliert, über den Steuercomputer heimlich über Sieg oder Niederlage in jedem Spiel zu entscheiden. Die Spieler, die das wussten, entfernten die Verbindungsteile des Computers, um ihr eigenes Baseballspiel zu spielen. Schließlich wird im Cyber Egg Stadium ein faires Spiel ausgetragen. 2020 ist Super Baseball ein rasantes Spiel mit neuen Regeln, in dem Sie einen von 12 einzelnen Männern, Frauen oder Robotern auswählen können. Während des Spiels können Sie Ihr Team mit Preisen aus tollen Fängen stärken.
3countb	Wählen Sie aus zehn Wrestlern, die ihre eigenen Power-Attacken haben. Es gibt zehn Runden im Spiel, und in jeder dieser Runden kämpfst du gegen andere Wrestler, die viel härter sind als die vorherigen. Sie besiegen jeden, indem Sie beißen, treten und andere Züge ausführen, bis die Schadensanzeige leer ist. Aber nur weil es leer ist, heißt das nicht, dass Sie gewinnen. Sie müssen ihn für die berüchtigten drei zählen. Bietet auch kompetitive Spiel- und Tag-Match-Kämpfe.
abyssal	Abyssal Infants ist eine wunderbare Überraschung in der NeoGeo-Homebrew-Szene, entwickelt von Kakoeimon. Dieser kostenlose Horizontal-Shooter bietet eine einzigartige Mischung aus Retro-Charme und anspruchsvollem Gameplay. Die Grafik ist unverwechselbar und polarisierend: Sie begeistert die einen, während sie die anderen verwirrt. Das Gameplay ist kompromisslos herausfordernd und damit ein Genuss für Hardcore-Fans. Kurz gesagt: Abyssal Infants ist eine herausragende Ergänzung der NeoGeo-Bibliothek und beweist, dass Schönheit im Auge des Betrachters liegt.
alpham2	Der Mondalptraum eines blutigen 200-jährigen Weltraumkrieges erschien in der &quot;ursprünglichen&quot; ALPHA-MISSION vorüber gewesen zu sein. Aber jetzt mit dem Aufkommen technisch ausgefeilterer Waffen sind der böse &quot;Fulvar&quot; und seine &quot;Seven Star Alliance&quot; zurückgekehrt um alle Planeten zu zerstören, die dem ultimativen Ziel im Weg stehen ... Erde! Jetzt im Jahr 2525! Ihre Mission als Pilot des neuen SYD-FX-Jägers ist es mit jeder verfügbaren Waffe die Galaxie ein für alle Mal von dem Bösen zu befreien, das jetzt die Erde beherrscht und bedroht. Ziehen Sie sich also an, halten Sie den Atem an und freuen Sie sich auf unglaubliche Grafiken und Stereoklänge, die Sie in die Weiten des tiefen, dunklen Innenraums entführen. Seien Sie vorbereitet ... Sie werden vielleicht nie wiederkommen!
androdun	Die Invasion einer unbekannten Lebensform wird immer dramatischer. Niemand weiß, ob zuerst die Verteidigungslinie oder das Herz des feindlichen Stützpunktes zerstört wird. Mit der Hoffnung des Volkes wird der am weitesten fortgeschrittene Kampfflieger in den sich mehrfach scrollenden Weltraum entsandt. Kämpfe dich durch sieben Etappen in diesem waagerecht scrollenden Spiel und besiege am Ende jeder Etappe einen Boss. Du beginnst das Spiel mit vier Hauptwaffen, die du mit einem Knopfdruck wechseln kannst. Einige dieser Waffen sind mächtiger als andere. Außerdem kannst du einen geladenen Schuss abfeuern, wenn deine Hauptwaffenstufe zwei oder höher ist, indem du einfach den Feuerknopf etwa zwei Sekunden lang gedrückt hältst. Die Verwendung geladener Schüsse kann einem gegnerischen Schiff mehr Schaden zufügen. Wenn du zufällig stirbst, verlierst du eine Energiestufe von allen vier Waffen. Falls du sämtliche Leben verloren hast und gezwungen bist, fortzufahren, beginnst du wieder mit deiner Hauptwaffe auf der zweiten Energiestufe und mit allen drei Nebenwaffen auf der ersten Energiestufe.
aodk	Aggressors of Dark Kombat ist ein weiteres one-on-one Street fighting Beat 'em Up das aus der scheinbar endlosen Sammlung von Beat 'em Up´s des Neo-Geo hervorgeht. In einem Turnier treten acht Kämpfer mit unterschiedlichen Stilen und Stärken gegeneinander an, um herauszufinden, wer der härteste Typ auf den Straßen Tokios ist. Dein Ziel ist es wie immer, die Lebenspunkte deines Gegners innerhalb des Zeitlimits zu erschöpfen, indem du deine Basisangriffe und Spezialattacken verwendest und seine Bewegungen und Angriffe verhinderst. Einzigartig für Aggressors of Dark Kombat ist die Kombination traditioneller Side-Scrolling-Beat-Em-Up-Elemente. Dies bedeutet, dass sich Charaktere in einem isometrischen Raum frei bewegen können, anstatt auf eine einzige Bewegungsebene beschränkt zu sein. Waffen und Wurfgegenstände werden normalerweise von der Menge in die Arena geworfen und Sie können diese aufheben und einsetzen um zusätzlichen Schaden zu verursachen.
aof	Die Handlung von Art of Fighting findet im Jahr 1978 statt. Ryo Sakazaki und Robert Garcia machen sich auf die Suche nach Ryos Schwester Yuri, die von Mr. Big entführt wurde. Mr. Big nahm Yuri mit, um Takuma Sakazaki, Ryos Vater und Begründer des Kyokugen-Karate, zu ködern, und auch, weil Ryo sich weigerte, für Mr. Big zu arbeiten. Nachdem Ryo und Robert Mr. Big besiegt haben, stehen sie dem rätselhaften Mr. Karate gegenüber. Die Geschichte von Art of Fighting endet mit einem Cliffhanger: Yuri ist dabei, die wahre Identität von Mr. Karate als ihr Vater Takuma aufzudecken.
aof2	Art of Fighting 2 auf Neo Geo verfeinert, was in der vorherigen Episode begonnen wurde. Etwa fünfzehn Charaktere sind von Anfang an spielbar, und dank der zusätzlichen Ki-Anzeige werden neue Bewegungsmöglichkeiten geboten. So können Sie in kritischen Fällen Verzweiflungsbewegungen starten. Die so beeindruckenden Zooms sind noch Teil des zweiten Teils von Art of Fighting.
aof3	The Path of the Warrior: Art of Fighting 3 auf Neo Geo hat nur wenige szenaristische Verbindungen zu den beiden vorherigen Teilen. Egal, die Hauptsache ist hier der Kampf. Zunächst einmal gibt es acht spielbare Charaktere, plus zwei zum Freischalten. Hinzu kommt eine Animation mit erhöhter Fließfähigkeit und Bluffen für die Zeit. Der Schlüssel zum Sieg liegt im Ausweichen, das in der Kunst des Kämpfens wichtiger denn je ist.
b2b	Nachdem Sie Ihren Lieblingscharakter (Lazy oder Refia) gewählt haben, kommen Sie zu einer niedlichen Kinematik mit unseren Helden in ihrem Raumschiff, das auf dem Planeten Palua landet. Sieben Zonen erwarten den Spieler, unterteilt in zahlreiche Levels. Eis, grüne Wälder, gewaltige Wasserfälle, Schlösser, böse Berge, ägyptische Pyramiden... Was für eine Welt! Bei einer solchen Vielfalt braucht man nicht zu sagen, dass die Hintergründe abwechslungsreich und die Grafiken exotisch sind!
bakatono	Bakatonosama ist mehr oder weniger ein klassisches Mahjong-Spiel. Wenn Sie die Regeln dieses Spiels nicht beherrschen, gehen Sie Ihren eigenen Weg. Skizzenhafte Grafiken, eine völlig banale Umsetzung ... Dieses Spiel ist alles andere als ein Muss in der NeoGeo-Spielebibliothek. Außerdem müssen Sie die japanische Sprache beherrschen, um es vollständig spielen zu können.
bangbead	Bang Bead, in Japan als Bang Beads bekannt, ist ein Ball- und Paddelspiel aus dem Jahr 2001, das von Visco exklusiv für die als SNK Neo-Geo MVS-Hardware bekannte Arcade-Kabine entwickelt und veröffentlicht wurde. Es kombiniert die Genres des Magnavox Odyssey Tennis-Spiels, Ataris Pong und Breakout Arcade und Nintendos Spitball Sparky aus der Game & Watch-Serie. Sie können aus 9 Charakteren wählen und gegen einen anderen Spieler oder den Computer spielen. Schlagen Sie die Sterne hinter dem anderen Spieler heraus und bringen Sie dann den aufspringenden Ball durch, um die Runde zu gewinnen.
bjourney	In Blue's Journey auf Neo Geo spielen Sie einen insektenähnlichen Charakter, der auf einem Pflanzenplaneten lebt. Deine kleine Welt wird auf den Kopf gestellt, als ein großer Bösewicht kommt, um seine Technologie in deinem kleinen Ökosystem zu installieren. Bewegen Sie sich allein oder zu zweit auf einem horizontal scrollenden Bildschirm in diesem Platformer, bei dem jedes Level innerhalb einer vorgegebenen Zeit abgeschlossen werden muss. Reisen Sie durch vier Regionen, um den Endboss zu erreichen und zu besiegen.
blazstar	Blazing Star, die inoffizielle Fortsetzung von Pulstar, ist wieder ein horizontal scrollendes Shoot-'em-up. Ein oder zwei Spieler bewegen sich durch Levels, an deren Ende jeweils ein Bossgegner steht, und versuchen, die Menschheit zu erlösen. Es gibt sechs Schiffe zur Auswahl, jedes mit einem eigenen Piloten (vier davon sind weiblich), Waffen und Bewegungsmerkmalen. Jedes Schiff hat seine eigenen Schusstypen, aber auch einen Standardschuss, einen aufgeladenen Schuss (leistungsfähiger) und einen geteilten Schuss (ein aufgeladener Schuss kann in mehrere Kugeln aufgeteilt werden, was die Leistung jeder Kugel senkt und gleichzeitig den Feuerbereich vergrößert).
breakers	In Breakers wählen Sie einen von acht Kämpfern, die ihre eigenen Bewegungen und Spezialangriffe haben. Es gibt acht Stufen im Spiel, und jede Stufe hat zwei Kämpfe. Das Ziel eines jeden Kampfes ist es, die Energie des Gegners zu verbrauchen, um den Kampf zu gewinnen. Bei einem Unentschieden findet ein dritter Kampf statt. Wenn das Zeitlimit abläuft, verliert der Spieler mit weniger Energie den Kampf. Wenn Sie alle acht Etappen absolviert haben, treten Sie gegen einen Gegner an, der wesentlich härter ist als die vorherigen. Je nach ausgewähltem Charakter werden unterschiedliche Endungen und Dialoge im Spiel angezeigt.
breakrev	Die Krieger kehren für eine neue Meisterschaft zurück. Können die Verlierer des letzten Kampfes in diesem eine Revanche bekommen? Sie werden sich nicht nur von Angesicht zu Angesicht wiedersehen, es warten auch neue Herausforderungen auf sie. Doch ihr Ziel ist das gleiche. Sie alle wollen die neue Meisterschaft gewinnen!
bstars	Baseball Stars Professional ist der Nachfolger von Baseball Stars für das Nintendo Entertainment System und bietet Grafik im Comic-Stil. Wählen Sie aus einer Vielzahl von Teams, darunter Celestial Planets, Heavenly Bodies, Shadow Demons, Battle Knights, Fabulous Superstars und viele andere. Wählen Sie dann das Spielfeld aus, auf dem das Spiel ausgetragen werden soll: Das SNK-Stadion oder die SNK-Kuppel. Jedes Spielfeld hat die gleichen Abmessungen, aber die Kapazität variiert. Das Spiel wird auf die gleiche Weise gespielt wie normales Baseball. Verfügt über einen VS.-Modus, in dem zwei Spieler gegeneinander spielen können.
bstars2	Dieser Nachfolger von Baseball Stars Professional bietet ein rasantes Baseballspiel im Arcade-Stil mit sechs fiktiven Teams, die alle ihre eigenen Stärken und Schwächen haben. Es gibt zwei Schwierigkeitsgrade des Spiels: Anfänger, bei dem der Spieler den Ball automatisch fängt, während bei Aufregend der Spieler das Feld manuell bearbeiten muss. Darüber hinaus gibt es zwei Haupt-Spielmodi, wobei der Spieler im Einzelspieler-Modus in einem Turnier mit fünfzehn Teams antritt oder in einem Mehrspieler-Modus gegen einen Freund antritt.
burningf	Die Castella-Familie aus der Metro City begann, die friedliche Stadt Osaka mit der gewalttätigen japanischen Gruppe &quot;Heiwa-gumi&quot; zu ruinieren. Um den Kampf zu stoppen, schickten die Detektive der Metro-Polizei zwei gefährliche Charaktere, Duke und Billy, nach Japan. Mit der Unterstützung des berühmten japanischen Detektivs Ryu beschließen sie, in die Festung des Feindes zu stürmen. Erbarmungslose Gewalt in den Neonlichtern von Osaka. Wird es ein Ende dieses Krieges geben?
cabalng	Es handelt sich um einen Shooter aus der Third-Person-Perspektive, bei dem du sowohl deinen Charakter als auch ein Zielorgan steuerst. Das Ziel ist es natürlich, so viele Gegner wie möglich abzuschießen, ohne selbst getroffen zu werden. Die Steuerung des Kriegers und des Schusses ist zwar anfangs nicht ganz einfach, aber nach ein paar Minuten ist die Ergonomie intuitiv und gut abgestimmt.
columnsn	Columns ist ein Puzzlespiel, das 1989 von Jay Geertsen entwickelt wurde. Nach dem Kauf der Rechte veröffentlichte Sega das Spiel 1990 auf Arcade-Terminals und es folgten mehrere Adaptionen auf Familienmedien, vor allem auf Sega-Konsolen. Das Spiel hat auch mehrere Fortsetzungen hervorgebracht. Das Spiel wurde im Jahr 2002 in einer Homebrew-Version auf den Neo-Geo MVS portiert.
crswd2bl	Diese Version ist ein Bootleg (inoffizielle Kopie) der NeoGeo-CD-Version des gleichnamigen Spiels. Stellen Sie sich ein 2D-Boxspiel mit einer Rückenansicht des Boxers vor, dessen Sprite transparent wäre, ein bisschen wie Punch-Out auf Nes, aber ersetzen Sie den Boxer durch einen Ritter und sein Schwert und die Gegner durch Monster und Drachen.
