#key	synopsis
2020bb	En el año 2020, el béisbol evolucionó y ya no existe el béisbol profesional convencional. Ahora el béisbol diseñado por la Asociación de Super Baseball es el mas popular. Sin embargo, la verdad es que la asociación ha usado una colosal suma de dinero para promover el Super Baseball como un autentico espectáculo y han manipulado las habilidades de cada jugador, usando el ordenador de control de manera secreta, para decidir quienes ganarían y quienes perderían en cada partido. Los jugadores, conscientes de la trampa, desconectaron las partes del ordenador para poder jugar libremente. Finalmente, un partido igualado va a tener lugar en el estadio Cyber Egg.
3countb	3 Count Bout, conocido como Fire Suplex en Japón, es un juego de lucha de arcade publicado por SNK en 1993. Elige uno de 10 luchadores, cada uno con sus movimientos especiales, y haz tu camino desde el &quot;Rookie Champion&quot; al &quot;World Heavyweight Title&quot;. Controlado por una palanca de mando de 4 botones usados para golpear, patear, saltar/body drop y pinfall.
abyssal	Abyssal Infants es una grata sorpresa en el mundo de los juegos independientes de NeoGeo, creado por Kakoeimon. Este shooter horizontal gratuito ofrece una mezcla única de encanto retro y jugabilidad desafiante. ¿Sus gráficos? Distintivos y controvertidos, que cautivan a algunos y dejan perplejos a otros. Su jugabilidad es sumamente desafiante, lo que lo convierte en una delicia para los fans más acérrimos. En resumen, &quot;Abyssal Infants&quot; destaca como una valiosa incorporación al catálogo de NeoGeo, demostrando que la belleza reside en los ojos del que la contempla.
alpham2	Se pensó que la pesadilla lunar que duro 200 años con una sangrienta guerra espacial había terminado en la &quot;original&quot; MISIÓN ALFA. Pero ahora, con el advenimiento de armas técnicamente más sofisticadas, el malvado &quot;Fulvar&quot; y su &quot;Alianza Siete Estrellas&quot; han vuelto a destruir todos los planetas que se encuentran en su camino hacia el objetivo final ... ¡ La Tierra! Ahora en el año de 2525 tu misión como piloto del nuevo SYD-FX es usar todas las armas a su disposición para librar a la galaxia de una vez por todas del mal que ahora domina y amenaza a la Tierra. Prepárate ... ¡puede que nunca vuelvas!
androdun	Entra en un mundo de vivos colores, lleno de imaginación y fantasía espacial. Una misión para sortear las defensas enemigas en la nueva frontera. Pilota una increíble nave espacial a través de los traicioneros caminos estelares. La nave, recién desarrollada, está equipada con múltiples configuraciones de armamento que se pueden activar hasta 4 veces, suficiente para convertir a los enemigos en polvo lunar.
aodk	¡Intenta golpear a tus enemigos! nn¡Sin reglas ni limites en el combate! Saltando, provocando, fingiendo, lanzando ... puedes hacer de todo. Armas, estrangulamientos, sin piedad ni con el enemigo debilitado. ¿Lanzar un ataque? ¿Pelear a puñetazos? Descubre tu mejor estilo mientras luchas y cantas la canción del luchador sangriento.
aof	Art of Fighting es un juego de lucha 1 vs 1 con dos personajes a elegir (Ryo Sakazaki y Robert García). Tendrán que derrotar a ocho adversarios para descubrir quién secuestró a Yuri Sakazaki, la hermana de Ryo. Este fue el primer juego de NeoGeo en alcanzar los 100 Mbits de memoria, todo un logro en su tiempo. Escenarios detallados, un sonido absolutamente contundente y personajes como nunca antes se habían visto en un juego de lucha justificaban la cantidad de memoria usada en el cartucho. El tamaño de los personajes es tal que tuvieron que introducir una novedad en el género, el uso del zoom, que aleja la &quot;cámara&quot; cuando los luchadores se distancian entre sí.
aof2	En esta secuela del Art of Fighting original, y precuela del primer Fatal Fury, conocemos que Mr.Karate, el jefe final del juego original es en realidad Takuma Sakazaki, el padre de Ryo y Yuri. Tras la máscara, estaba siendo usado por Geese Howard para sus malvadas intenciones, y fue Mr.Big uno de los que secuestraron a Yuri. Algunos problema del primer título fueron arreglados en esta secuela (más facilidad para ejecutar los movimientos especiales, más personajes para seleccionar, etc). Todo el plantel del primer juego está aquí (excepto Todo y Mr.Karate) así como nuevas caras: Takuma, Yuri, Eiji, Temjin, y un final boss oculto que no es otro que un joven Geese Howard. Solo llegarás a él si vences sin perder un round.
aof3	En esta tercera y última entrega de la seria Art of Fighting, la historia parte de de Ryo Sakazaki a su mejor amigo y rival, Robert García , como se aventura en México para intentar localizar a Freia Lawrence , un amigo de la infancia , que le pidió ayuda . Sin embargo , se va sin el consentimiento de la Fundación García , que envía un agente llamado Karman Cole para traerlo de vuelta . Pero no todo es tan simple como parece ... porque Robert no es el único en busca de Freia. Art of Fighting 3: La senda del guerrero cuenta con diez personajes con diferentes estilos de lucha , un nuevo sistema de lucha basado en combinaciones de la palanca de mando y botones de juego, y gráficos y animaciones increíblemente detallados.
b2b	Después de elegir a tu personaje favorito (Lazy o Refia), se mostrara una cinemática con nuestros héroes en su nave espacial, aterrizando en el planeta Palua. Siete zonas esperan a los jugadores, divididos en numerosos niveles. Hielo, bosques verdes, cascadas, castillos, montañas, pirámides egipcias... ¡Qué mundo! Con tal diversidad, no hay necesidad de decir que los fondos son variados y los gráficos exóticos!
