#key	synopsis
2020bb	Dans 2020 Super Baseball, le baseball est revisité avec des éléments futuristes même si les règles sont conservées. Par exemple, pendant la phase de défense, les joueurs peuvent sauter très haut à l'aide de jetpacks. Les équipes comprennent des joueurs humains et des robots. Certaines équipes ne sont composées que de robots. Chaque action effectuée rapporte de l'argent. Avant que le lanceur ne lance la balle, le joueur peut changer de batteur ou améliorer sa puissance (vitesse, frappe, résistance). Les améliorations ont trois niveaux maximum. En phase de défense, le joueur contrôle à tour de rôle le lanceur et les joueurs de champs. En tant que lanceur, il y a plusieurs choix de tirs selon le lanceur utilisé.
3countb	Vous faites partie de la SNK Wrestling Federation et désirez participer au championnat du monde, le SWF Wrestle Festival. Aussi bien sur le ring que dans les rues, vous allez devoir montrer qui est le patron. Il est temps de se lancer dans le championnat. Choisissez parmi dix lutteurs qui ont leurs propres attaques. Il y a dix rounds dans le jeu dans lesquels vous combattrez d'autres lutteurs de plus en plus coriaces. Le but du jeu est de tenir l'adversaire au sol 3 secondes. Il y a également une barre de santé, plus elle est basse, plus il est dur de se dégager d'une prise. Vous pourrez frapper, mordre et effectuer d'autres mouvements spectaculaires (ou illégaux) pour vaincre vos adversaires.
abyssal	“Abyssal Infants” est une agréable surprise dans la scène homebrew de la NeoGeo, créée par Kakoeimon. Ce shoot'em up horizontal gratuit propose un mélange unique de charme rétro et de gameplay exigeant. Les graphismes ? Distinctifs et polarisants — ils séduisent certains tandis qu'ils laissent d'autres perplexes. La jouabilité est impitoyablement difficile, ce qui en fait un véritable régal pour les joueurs hardcore. En résumé, “Abyssal Infants” se distingue comme un ajout audacieux à la bibliothèque NeoGeo, prouvant que la beauté est véritablement dans l'œil de celui qui regarde.
alpham2	En l'an 2525, l'espace est à nouveau menacé. Seul le légendaire Super Jet Plane SYD peut vaincre l'armada envahissante et détruire le Fulvalence Groma. Alpha Mission II est un jeu de tir à défilement vertical descendant et la suite d'Alpha Mission. Lorsque le jeu commence, le joueur choisit deux armures pour son SYD, et des armures supplémentaires peuvent être achetées à la fin de chaque niveau. Les armures ajoutent une puissance de feu supplémentaire au vaisseau lorsqu'elles sont équipées et seront détruites si le vaisseau est touché. Les armes principales du SYD sont un laser direct et des bombes, ells peuvent être améliorées à partir d'icônes larguées par certains ennemis. Comme dans Xevious, les cibles terrestres ne peuvent être touchées que par des bombes, tandis que les cibles aériennes ne peuvent être touchées que par des lasers.
androdun	Andro Dunos est un shoot'em up sur Neo Geo. L'originalité de ce titre réside dans la gestion des armes dont dispose votre vaisseau. En effet, vous pouvez switcher entre quatre différents types de tir, chacun ayant ses avantages mais aussi ses failles, et ainsi vous adapter à la situation. Vous disposez également d'une super-bombe que vous pouvez lâcher une fois sa jauge remplie.
aodk	Aggressors of Dark Kombat est un jeu de combat sur Neo Geo. Celui-ci présente la particularité de gérer le déplacement dans la profondeur. Vous pourrez donc distribuer les coups en long, en large et en travers avec l'un des huit persos proposés. Vous profiterez également des pelles et autres cocktails Molotov leur tombant sous la main pour les envoyer sur la trogne de leur adversaire.
aof	Art of Fighting sur Neo Geo est un jeu de combat en 2D qui fut le premier à utiliser un système de zoom se déclenchant lorsque les personnages étaient proches. Choisissez parmi 10 personnages au style bien particulier et défoulez-vous sur votre adversaire à coups de pieds et de poings. Il est également possible, pour la première fois dans un jeu de combat, de débloquer des furies pour exécuter des enchaînements dévastateurs.
aof2	Art of Fighting 2 sur Neo Geo peaufine ce qui a été amorcé dans le précédent volet. Une quinzaine de personnages sont jouables d'entrée et de nouvelles possibilités de mouvements sont offertes grâce à l'ajout de la jauge de Ki. Vous pourrez ainsi lancer les Desperation Moves en cas critique. Les zooms si impressionnants sont toujours de la partie dans le deuxième volet de Art of Fighting.
aof3	The Path of the Warrior : Art of Fighting 3 sur Neo Geo possède très peu de liens scénaristiques en rapport avec les deux précédents volets. Qu'importe, l'essentiel ici est la baston. Tout d'abord comptez huit persos jouables, plus deux à débloquer. Ajoutez à cela une animation d'une fluidité accrue et bluffante pour l'époque. La clé de la victoire réside dans l'esquive, plus importante que jamais dans un Art of Fighting.
b2b	Dans la lointaine galaxie Kakoi, les animaux vivent en harmonie avec la nature. Un collectionneur de peluches, qui s'est autoproclamé empereur de l'Univers, essaie par tous les moyens d'agrandir sa collection d'animaux empaillés avec les deux policiers de l'espace, Lazy et Refia ! Lançant un appel à l'aide de la planète Palua, le tyran attire nos deux héros dans un piège. Ils vont devoir faire preuve d'une grande adresse pour s'extirper du piège tendu par l'empereur Honey et ses généraux sur Palua, où on peut trouver une mer mystérieuse bordée de montagnes mystiques.
bakatono	Bakatonosama n'est plus ni moins un jeu de mahjong classique. Si vous ne maitrisez pas les règles de ce jeu, passez votre chemin. Des graphismes sommaires, une réalisation somme toute banale...Ce jeu est loin d'être indispensable dans la ludothèque NeoGeo. En plus la maîtrise du japonais est nécessaire pour pouvoir y jouer pleinement.
bangbead	Bang Bead est la suite de Flip Shot un Pong-Like, nos 5 valeureux combattants reviennent avec 2 nouvelles amies. Et... C'est à peu près les seules nouveautés avec l'ajout d'un ultime point a marquer une fois toutes les cibles atteintes. On constate aussi une petite amélioration des graphismes. Comme pour Flip Shot, le jeu est sympa et très très fun tout en mettant vos réflexes à rude épreuve. Vraiment un bon titre, mais Windjammers lui fera éternellement de l'ombre.
bjourney	Dans Blue's Journey sur Neo Geo, vous incarnez un personnage au look d'insecte vivant sur une planète végétale. Votre petit monde bascule lorsqu'un grand méchant vient installer sa technologie dans votre petit écosystème. Evoluez seul ou à deux sur un écran à défilement horizontal dans ce jeu de plates-formes, où chaque niveau doit être complété dans un temps imparti. Traversez quatre régions pour atteindre et défaire le boss final.
blazstar	L'armée de Brawshella menace toute la galaxie. La Ligue de Défense Spatiale décide alors d'envoyer plusieurs escadrons afin de restaurer la paix et de vaincre Brawshella. Blazing Star vous fera parcourir plusieurs niveaux à la difficulté très progressive aux commandes de différents vaisseaux. Chaque niveau propose une grande variété d'ennemis différente et se termine par un boss. Il se tue en 2 phases, et davantage pour le boss final. Une fois bien amoché, il subit une transformation ou bien perd des morceaux et change son comportement. Côté graphismes, l'introduction mi-manga mi-images de synthèse est somptueuse. Durant le jeu, les vaisseaux ont un rendu 3D et bon nombre de décors également. L'ambiance sonore est excellente elle aussi : la musique des niveaux change souvent, et est très entrainante. Arrivé au boss, elle change pour devenir encore plus rythmée. Enfin la maniabilité du jeu est irréprochable.
breakers	Breakers sur Neo Geo est un jeu de combat 2D. Choisissez parmi 9 personnages ayant leur technique propre et tentez les &quot;chain&quot;, capables de créer une pluie de coups et d'attaques incessantes. A noter que les combattants bénéficient de voix digitalisées.
breakrev	Breaker's Revenge est un jeu a la croisé des chemins : se jouant de manière très old school, il regorge néanmoins de spécificités qui le rendent pratiquement inusable. Doté d'une ambiance décalée et survoltée, il fait partie de ces titres auxquels on s'adonne toujours avec plaisir.
