#name	crc	size	key
2020 Super Baseball (Japan) (En,Ja)	6516b3c6	4908	2020 Super Baseball (Japan) (En,Ja)
ADK World (Japan)	05080a77	4798	ADK World (Japan)
ASO II - The Last Guardian ~ Alpha Mission II (Japan) (En,Ja)	a4c644ec	3580	ASO II - The Last Guardian ~ Alpha Mission II (Japan) (En,Ja)
Art of Fighting - Ryuuko no Ken Gaiden ~ The Path of the Warrior - Art of Fighting 3 (World) (En,Ja,Es,Pt)	9de9ec91	7493	Art of Fighting - Ryuuko no Ken Gaiden ~ The Path of the Warrior - Art of Fighting 3 (World) (En,Ja,Es,Pt)
Bakumatsu Roman - Gekka no Kenshi ~ The Last Blade (Japan) (En,Ja,Es,Pt)	a8386e09	9083	Bakumatsu Roman - Gekka no Kenshi ~ The Last Blade (Japan) (En,Ja,Es,Pt)
Bakumatsu Roman Daini Maku - Gekka no Kenshi - Tsuki ni Saku Hana, Chiri Yuku Hana ~ The Last Blade 2 (Japan) (En,Ja,Es,Pt)	804ec9a8	8340	Bakumatsu Roman Daini Maku - Gekka no Kenshi - Tsuki ni Saku Hana, Chiri Yuku Hana ~ The Last Blade 2 (Japan) (En,Ja,Es,Pt)
Baseball Stars 2 (Japan) (En,Ja)	ca75d5da	1813	Baseball Stars 2 (Japan) (En,Ja)
Baseball Stars Professional (Japan) (En,Ja)	31b1d639	2888	Baseball Stars Professional (Japan) (En,Ja)
Big Tournament Golf ~ Neo Turf Masters (Japan) (En,Ja)	13e860a5	3111	Big Tournament Golf ~ Neo Turf Masters (Japan) (En,Ja)
Breakers (Japan) (En,Ja)	89b57c53	3790	Breakers (Japan) (En,Ja)
Burning Fight (Japan) (En,Ja)	83a78c3e	2812	Burning Fight (Japan) (En,Ja)
Choujin Gakuen - Gowcaizer ~ Voltage Fighter - Gowcaizer (World) (En,Ja)	98dd43c3	4491	Choujin Gakuen - Gowcaizer ~ Voltage Fighter - Gowcaizer (World) (En,Ja)
Choutetsu Brikin'ger ~ Ironclad - Tesshou Rusha (Japan) (En,Ja)	c10d0bcf	3142	Choutetsu Brikin'ger ~ Ironclad - Tesshou Rusha (Japan) (En,Ja)
Crossed Swords (Japan)	721fbb1b	2971	Crossed Swords (Japan)
Crossed Swords II (Japan) (En,Ja)	a515bda1	2926	Crossed Swords II (Japan) (En,Ja)
Cyber-Lip (Japan) (En,Ja)	e96e992c	3276	Cyber-Lip (Japan) (En,Ja)
Double Dragon (Export) (En,Ja)	b0e7f293	2482	Double Dragon (Export) (En,Ja)
Double Dragon (Japan) (En,Ja) (Rev 1)	713f879b	2622	Double Dragon (Export) (En,Ja)
Dunk Dream ~ Street Slam ~ Street Hoop (World)	cca90e2c	1674	Dunk Dream ~ Street Slam ~ Street Hoop (World)
Far East of Eden - Tengai Makyou Shinden ~ Far East of Eden - Kabuki Klash (Japan) (En,Ja)	ea698ec9	6272	Far East of Eden - Tengai Makyou Shinden ~ Far East of Eden - Kabuki Klash (Japan) (En,Ja)
Fighter's History Dynamite ~ Karnov's Revenge (World) (En,Ja)	0c719598	5754	Fighter's History Dynamite ~ Karnov's Revenge (World) (En,Ja)
Fire Suplex ~ 3 Count Bout (World) (En,Ja)	4de411d5	3511	Fire Suplex ~ 3 Count Bout (World) (En,Ja)
Flying Power Disc ~ Windjammers (Japan) (En,Ja)	c50e976f	2822	Flying Power Disc ~ Windjammers (Japan) (En,Ja)
Football Frenzy (Japan) (En,Ja)	7d7b924e	2152	Football Frenzy (Japan) (En,Ja)
Futsal - 5 on 5 Mini Soccer ~ PleasureGoal - 5 on 5 Mini Soccer (Japan) (En,Ja)	35436260	5898	Futsal - 5 on 5 Mini Soccer ~ PleasureGoal - 5 on 5 Mini Soccer (Japan) (En,Ja)
Fuuun Mokushiroku - Kakutou Sousei ~ Savage Reign (World) (En,Ja,Es,Pt)	fc133bae	7490	Fuuun Mokushiroku - Kakutou Sousei ~ Savage Reign (World) (En,Ja,Es,Pt)
Fuuun Mokushiroku - Kakutou Sousei ~ Savage Reign (World) (En,Ja,Es,Pt) (Rev 1)	fbfaa724	7770	Fuuun Mokushiroku - Kakutou Sousei ~ Savage Reign (World) (En,Ja,Es,Pt)
Galaxy Fight - Universal Warriors (Japan) (En,Ja,Es)	ca238940	3510	Galaxy Fight - Universal Warriors (Japan) (En,Ja,Es)
Garou Densetsu - Shukumei no Tatakai ~ Fatal Fury - King of Fighters (Japan) (En,Ja)	26ecc358	5671	Garou Densetsu - Shukumei no Tatakai ~ Fatal Fury - King of Fighters (Japan) (En,Ja)
Garou Densetsu 2 ~ Fatal Fury 2 (Japan) (En,Ja)	7a57c16c	3646	Garou Densetsu 2 ~ Fatal Fury 2 (Japan) (En,Ja)
Garou Densetsu 3 - Road to the Final Victory ~ Fatal Fury 3 - Road to the Final Victory (Export) (En,Ja,Es,Pt) (Rev 2)	8c8ed277	9493	Garou Densetsu 3 - Road to the Final Victory ~ Fatal Fury 3 - Road to the Final Victory (Japan) (En,Ja,Es,Pt)
Garou Densetsu 3 - Road to the Final Victory ~ Fatal Fury 3 - Road to the Final Victory (Export) (En,Ja,Es,Pt) (Rev 3)	8b767c18	9493	Garou Densetsu 3 - Road to the Final Victory ~ Fatal Fury 3 - Road to the Final Victory (Japan) (En,Ja,Es,Pt)
Garou Densetsu 3 - Road to the Final Victory ~ Fatal Fury 3 - Road to the Final Victory (Japan) (En,Ja,Es,Pt)	475da0af	9133	Garou Densetsu 3 - Road to the Final Victory ~ Fatal Fury 3 - Road to the Final Victory (Japan) (En,Ja,Es,Pt)
Garou Densetsu 3 - Road to the Final Victory ~ Fatal Fury 3 - Road to the Final Victory (World) (En,Ja,Es,Pt) (Rev 1)	1f3d9134	9453	Garou Densetsu 3 - Road to the Final Victory ~ Fatal Fury 3 - Road to the Final Victory (Japan) (En,Ja,Es,Pt)
Garou Densetsu Special ~ Fatal Fury Special (Japan) (En,Ja)	e95e098f	3970	Garou Densetsu Special ~ Fatal Fury Special (Japan) (En,Ja)
Garou Densetsu Special ~ Fatal Fury Special (World) (En,Ja) (Rev 1)	5efa3799	4186	Garou Densetsu Special ~ Fatal Fury Special (Japan) (En,Ja)
Ghost Pilots (World)	e800ca93	2168	Ghost Pilots (World)
Idol Mahjong - Final Romance 2 (Japan)	1df18f60	10223	Idol Mahjong - Final Romance 2 (Japan)
Janshin Densetsu - Quest of Jongmaster (Japan)	3e96685d	5058	Janshin Densetsu - Quest of Jongmaster (Japan)
Joy Joy Kid ~ Puzzled (World) (En,Ja)	a63c73c9	5112	Joy Joy Kid ~ Puzzled (World) (En,Ja)
King of Fighters '94, The (World) (En,Ja)	1abbcd87	2972	King of Fighters '94, The (World) (En,Ja)
King of Fighters '94, The (World) (En,Ja) (Rev 1)	ae0620f2	3156	King of Fighters '94, The (World) (En,Ja)
King of Fighters '95, The (Japan) (En,Ja) (Rev 1)	642250d4	7053	King of Fighters '95, The (World) (En,Ja)
King of Fighters '95, The (World) (En,Ja)	d6e1e8af	6725	King of Fighters '95, The (World) (En,Ja)
King of Fighters '96 NeoGeo Collection, The (Japan)	7d3e4432	9320	King of Fighters '96 NeoGeo Collection, The (Japan)
King of Fighters '96, The (World) (En,Ja)	b77bead8	7487	King of Fighters '96, The (World) (En,Ja)
King of Fighters '97, The (Japan) (En,Ja)	afe9c910	8492	King of Fighters '97, The (Japan) (En,Ja)
King of Fighters '98, The - Dream Match Never Ends ~ The King of Fighters '98 - The Slugfest (Japan) (En,Ja)	b923ec20	10356	King of Fighters '98, The - Dream Match Never Ends ~ The King of Fighters '98 - The Slugfest (Japan) (En,Ja)
King of Fighters '99, The ~ The King of Fighters '99 - Millennium Battle (World) (En,Ja,Es,Pt)	41f55c43	10363	King of Fighters '99, The ~ The King of Fighters '99 - Millennium Battle (World) (En,Ja,Es,Pt)
Last Resort (Japan) (En,Ja)	01a346fe	2308	Last Resort (Japan) (En,Ja)
League Bowling (Japan) (En,Ja)	db20dec8	260	League Bowling (Japan) (En,Ja)
Magical Drop 2 (Japan) (En,Ja)	a536b2a8	3232	Magical Drop 2 (Japan) (En,Ja)
Magician Lord (Japan) (En,Ja)	d0e2ce57	4088	Magician Lord (Japan) (En,Ja)
Mahjong-kyou Retsuden - Nishi Nihon-hen (Japan)	bd37744a	1904	Mahjong-kyou Retsuden - Nishi Nihon-hen (Japan)
Metal Slug (Japan) (En,Ja)	69c120ec	2402	Metal Slug (Japan) (En,Ja)
Metal Slug 2 (World) (En,Ja)	2be8974f	2028	Metal Slug 2 (World) (En,Ja)
Mutation Nation (Japan) (En,Ja)	a065606e	2978	Mutation Nation (Japan) (En,Ja)
Nam-1975 (Japan) (En,Ja)	91754a99	3247	Nam-1975 (Japan) (En,Ja)
Neo Drift Out - New Technology (Japan)	3e7cd503	1170	Neo Drift Out - New Technology (Japan)
Neo-Geo CD Special (Japan)	c0d23d39	7932	Neo-Geo CD Special (Japan)
Next Thing, The - King of the Monsters 2 (World) (En,Ja)	53874385	4890	Next Thing, The - King of the Monsters 2 (World) (En,Ja)
Ninja Combat (Japan) (En,Ja)	27bb7d63	3018	Ninja Combat (Japan) (En,Ja)
Ninja Commando (Japan) (En,Ja)	796b762c	3538	Ninja Commando (Japan) (En,Ja)
Ninja Master's - Haou Ninpou Chou (Japan) (En,Ja)	1cdba1a4	5166	Ninja Master's - Haou Ninpou Chou (Japan) (En,Ja)
Oshidashi Zintrick ~ ZinTricK (Japan) (En,Ja)	55ab2b1e	3202	Oshidashi Zintrick ~ ZinTricK (Japan) (En,Ja)
OverTop (Japan) (En,Ja)	e63800eb	1752	OverTop (Japan) (En,Ja)
Power Spikes II (Japan) (En,Ja)	899d84b5	3789	Power Spikes II (Japan) (En,Ja)
Pulstar (Japan) (En,Ja)	fcdf8214	2460	Pulstar (Japan) (En,Ja)
Puzzle Bobble ~ Bust-A-Move (Japan) (En,Ja)	d5c3b173	109	Puzzle Bobble ~ Bust-A-Move (Japan) (En,Ja)
Quiz King of Fighters (Japan)	43d52be3	6058	Quiz King of Fighters (Japan)
Raguy ~ Blue's Journey (Japan) (En,Ja)	99b7b306	4028	Raguy ~ Blue's Journey (Japan) (En,Ja)
Rally Chase (Japan) (En,Ja)	5f5c7f9b	1852	Rally Chase (Japan) (En,Ja)
Real Bout Garou Densetsu 2 - The Newcomers ~ Real Bout Fatal Fury 2 - The Newcomers (Japan) (En,Ja)	82d5fe53	9026	Real Bout Garou Densetsu 2 - The Newcomers ~ Real Bout Fatal Fury 2 - The Newcomers (Japan) (En,Ja)
Real Bout Garou Densetsu Special ~ Real Bout Fatal Fury Special (World) (En,Ja,Es,Pt)	c597928c	7786	Real Bout Garou Densetsu Special ~ Real Bout Fatal Fury Special (World) (En,Ja,Es,Pt)
Real Bout Garou Densetsu ~ Real Bout Fatal Fury (World) (En,Ja,Es,Pt)	eabf5d61	6533	Real Bout Garou Densetsu ~ Real Bout Fatal Fury (World) (En,Ja,Es,Pt)
Riding Hero (Japan) (En,Ja)	5330e360	3448	Riding Hero (Japan) (En,Ja)
Robo Army (Japan) (En,Ja)	b70a3e39	2053	Robo Army (Japan) (En,Ja)
Ryuuko no Ken 2 ~ Art of Fighting 2 (World) (En,Ja,Es)	065c0811	5668	Ryuuko no Ken 2 ~ Art of Fighting 2 (World) (En,Ja,Es)
Ryuuko no Ken ~ Art of Fighting (World) (En,Ja,Es)	9c47070f	5097	Ryuuko no Ken ~ Art of Fighting (World) (En,Ja,Es)
Samurai Spirits - Amakusa Kourin ~ Samurai Shodown IV - Amakusa's Revenge (World) (En,Ja,Es,Pt)	0043e58e	10880	Samurai Spirits - Amakusa Kourin ~ Samurai Shodown IV - Amakusa's Revenge (World) (En,Ja,Es,Pt)
Samurai Spirits - Zankurou Musouken ~ Samurai Shodown III (World) (En,Ja,Es,Pt)	b8d6afb0	9205	Samurai Spirits - Zankurou Musouken ~ Samurai Shodown III (World) (En,Ja,Es,Pt)
Samurai Spirits ~ Samurai Shodown (Japan) (En,Ja)	7445bc50	3972	Samurai Spirits ~ Samurai Shodown (Japan) (En,Ja)
Sengoku Denshou 2 ~ Sengoku 2 (Japan) (En,Ja)	f11c9aca	4384	Sengoku Denshou 2 ~ Sengoku 2 (Japan) (En,Ja)
Sengoku Denshou ~ Sengoku (Japan) (En,Ja)	fe309409	4380	Sengoku Denshou ~ Sengoku (Japan) (En,Ja)
Shin Samurai Spirits - Haoumaru Jigokuhen ~ Samurai Shodown II (World) (En,Ja)	81016b49	6628	Shin Samurai Spirits - Haoumaru Jigokuhen ~ Samurai Shodown II (World) (En,Ja)
Shinouken ~ Ragnagard (Japan) (En,Ja,Es)	783dc1c6	3357	Shinouken ~ Ragnagard (Japan) (En,Ja,Es)
Shinsetsu Samurai Spirits - Bushidou Retsuden (Japan)	9a63f98e	4718	Shinsetsu Samurai Spirits - Bushidou Retsuden (Japan)
Shougi no Tatsujin - Master of Syougi (Japan)	eb0ca3c1	1802	Shougi no Tatsujin - Master of Syougi (Japan)
Soccer Brawl (World)	25b2063a	2123	Soccer Brawl (World)
Sonic Wings 2 ~ Aero Fighters 2 (World) (En,Ja)	daee4486	4837	Sonic Wings 2 ~ Aero Fighters 2 (World) (En,Ja)
Sonic Wings 3 ~ Aero Fighters 3 (Japan) (En,Ja)	3eb4d316	3512	Sonic Wings 3 ~ Aero Fighters 3 (Japan) (En,Ja)
Stakes Winner - GI Kanzen Seiha e no Michi (Japan)	0dbfccf7	3897	Stakes Winner - GI Kanzen Seiha e no Michi (Japan)
Super Sidekicks - Tokuten-ou (Japan) (En,Ja)	b3ecd356	1993	Super Sidekicks - Tokuten-ou (Japan) (En,Ja)
Super Spy, The (Japan) (En,Ja)	fbe6abaa	1900	Super Spy, The (Japan) (En,Ja)
Tokuten-ou 2 ~ Super Sidekicks 2 - The World Championship (Japan) (En,Ja,Es)	301d8929	2473	Tokuten-ou 2 ~ Super Sidekicks 2 - The World Championship (Japan) (En,Ja,Es)
Tokuten-ou 3 - Eikou e no Chousen ~ Super Sidekicks 3 - The Next Glory (World) (En,Ja,Fr,Es,It,Pt)	1222e8b5	6076	Tokuten-ou 3 - Eikou e no Chousen ~ Super Sidekicks 3 - The Next Glory (World) (En,Ja,Fr,Es,It,Pt)
Top Hunter - Roddy & Cathy (World) (En,Ja)	bd21ee23	4801	Top Hunter - Roddy & Cathy (World) (En,Ja)
Top Player's Golf (Japan) (En,Ja)	9978bca5	2068	Top Player's Golf (Japan) (En,Ja)
Tsuukai Gangan Koushinkyoku ~ Aggressors of Dark Kombat (World) (En,Ja)	6c4f2d00	7452	Tsuukai Gangan Koushinkyoku ~ Aggressors of Dark Kombat (World) (En,Ja)
Twinkle Star Sprites (Japan) (En,Ja)	9a9b8b05	3519	Twinkle Star Sprites (Japan) (En,Ja)
Viewpoint (Japan)	5c1e34c9	1550	Viewpoint (Japan)
World Heroes (Japan) (En,Ja)	eda69c6d	4410	World Heroes (Japan) (En,Ja)
World Heroes 2 (Japan) (En,Ja)	48106bc4	5857	World Heroes 2 (Japan) (En,Ja)
