#key	style	ss_system_id
2020 Super Baseball (Japan) (En,Ja)	mixrbv2	70
ADK World (Japan)	mixrbv2	70
ASO II - The Last Guardian ~ Alpha Mission II (Japan) (En,Ja)	mixrbv2	70
Art of Fighting - Ryuuko no Ken Gaiden ~ The Path of the Warrior - Art of Fighting 3 (World) (En,Ja,Es,Pt)	mixrbv2	70
Bakumatsu Roman - Gekka no Kenshi ~ The Last Blade (Japan) (En,Ja,Es,Pt)	mixrbv2	70
Bakumatsu Roman Daini Maku - Gekka no Kenshi - Tsuki ni Saku Hana, Chiri Yuku Hana ~ The Last Blade 2 (Japan) (En,Ja,Es,Pt)	mixrbv2	70
Baseball Stars 2 (Japan) (En,Ja)	mixrbv2	70
Baseball Stars Professional (Japan) (En,Ja)	mixrbv2	70
Big Tournament Golf ~ Neo Turf Masters (Japan) (En,Ja)	mixrbv2	70
Breakers (Japan) (En,Ja)	mixrbv2	70
Burning Fight (Japan) (En,Ja)	mixrbv2	70
Choujin Gakuen - Gowcaizer ~ Voltage Fighter - Gowcaizer (World) (En,Ja)	mixrbv2	70
Choutetsu Brikin'ger ~ Ironclad - Tesshou Rusha (Japan) (En,Ja)	mixrbv2	70
Crossed Swords (Japan)	mixrbv2	70
Crossed Swords II (Japan) (En,Ja)	mixrbv2	70
Cyber-Lip (Japan) (En,Ja)	mixrbv2	70
Double Dragon (Export) (En,Ja)	mixrbv2	70
Dunk Dream ~ Street Slam ~ Street Hoop (World)	mixrbv2	70
Far East of Eden - Tengai Makyou Shinden ~ Far East of Eden - Kabuki Klash (Japan) (En,Ja)	mixrbv2	70
Fighter's History Dynamite ~ Karnov's Revenge (World) (En,Ja)	mixrbv2	70
Fire Suplex ~ 3 Count Bout (World) (En,Ja)	mixrbv2	70
Flying Power Disc ~ Windjammers (Japan) (En,Ja)	mixrbv2	70
Football Frenzy (Japan) (En,Ja)	mixrbv2	70
