#key	synopsis
2020 Super Baseball (Japan) (En,Ja)	Im Jahr 2020 hat sich Baseball weiterentwickelt und es gibt keine konventionellen Profi-Baseball mehr. Baseball, der von der Super Baseball Association entworfen wurde war sehr beliebt und ist die beste Sportart gewesen. Die Wahrheit ist jedoch, dass der Verband eine gewaltige Geldsumme verwendet hat um für Super Baseball als Showbusiness zu bewerben. Sie haben die Fähigkeit jedes Spielers manipuliert um über den Steuercomputer heimlich über Sieg oder Niederlage in jedem Spiel zu entscheiden. Die Spieler die das wussten entfernten die Verbindungsteile des Roboter um ihr eigenes Baseballspiel zu spielen. Schließlich wurde im Cyber Egg Stadium ein faires Spiel ausgetragen. 2020 ist Super Baseball ein rasantes Spiel mit neuen Regeln in dem Sie einen von 12 einzelnen Männern, Frauen oder Robotern auswählen können. Während des Spiels können Sie Ihr Team mit Preisen aus tollen Fängen stärken.
ADK World (Japan)	ADK World (ADK Special in Japan) ist ein Minispiel-Videospiel, das von ADK entwickelt und 1995 von SNK nur in Japan und nur auf Neo-Geo-CD veröffentlicht wurde. Die Software ermöglicht Ihnen den Zugriff auf ein Menü in Form eines Stadtplans namens ADK Town. Das Labor von Professor Brown ermöglicht den Zugriff auf Karten der Charaktere von World Heroes und auf eine Zeichnung von World Heroes Perfect. Das ADK Café bietet Zugang zu Informationen, Covern und Kunstwerken zu Charakteren aus dem ADK-Universum: Magician Lord, Ninja Combat, Ninja Commando, Aggressors of Dark Kombat, Crossed Swords II, World Heroes, Blue's Journey und Rally Chase. Das ADK-Gebäude ist ein Fan-Fragebogen, den der ADK beantwortet. ADK Corner, eine Diskussion über ADK. Mysterious Shack ermöglicht das Freischalten versteckter Optionen.
Art of Fighting - Ryuuko no Ken Gaiden ~ The Path of the Warrior - Art of Fighting 3 (World) (En,Ja,Es,Pt)	In diesem dritten und letzten Teil der Art of Fighting-Reihe verlagert sich die Geschichte von Ryo Sakazaki zu seinem besten Freund und Rivalen Robert Garcia, der sich nach Mexiko begibt, um Freia Lawrence, eine Freundin aus Kindertagen, ausfindig zu machen, die ihn um Hilfe gebeten hat . Er geht jedoch ohne die Zustimmung der Garcia Foundation, die einen Agenten namens Karman Cole schickt, um ihn zurückzuholen. Doch nicht alles ist so einfach, wie es scheint ... denn Robert ist nicht der Einzige, der nach Freia sucht. Art of Fighting 3: The Path of The Warrior bietet zehn spielbare Charaktere mit unterschiedlichen Kampfstilen, ein völlig neues Kampfsystem basierend auf Joystick- und Tastenkombinationen sowie unglaublich detaillierte Grafiken und Animationen.
ASO II - The Last Guardian ~ Alpha Mission II (Japan) (En,Ja)	Der Mondalptraum eines blutigen 200-jährigen Weltraumkrieges erschien in der &quot;ursprünglichen&quot; ALPHA-MISSION vorüber gewesen zu sein. Aber jetzt mit dem Aufkommen technisch ausgefeilterer Waffen sind der böse &quot;Fulvar&quot; und seine &quot;Seven Star Alliance&quot; zurückgekehrt um alle Planeten zu zerstören, die dem ultimativen Ziel im Weg stehen ... Erde! Jetzt im Jahr 2525! Ihre Mission als Pilot des neuen SYD-FX-Jägers ist es mit jeder verfügbaren Waffe die Galaxie ein für alle Mal von dem Bösen zu befreien, das jetzt die Erde beherrscht und bedroht. Ziehen Sie sich also an, halten Sie den Atem an und freuen Sie sich auf unglaubliche Grafiken und Stereoklänge, die Sie in die Weiten des tiefen, dunklen Innenraums entführen. Seien Sie vorbereitet ... Sie werden vielleicht nie wiederkommen!
Bakumatsu Roman - Gekka no Kenshi ~ The Last Blade (Japan) (En,Ja,Es,Pt)	Wähle aus einer Vielzahl von Charakteren, jeder mit seinen eigenen einzigartigen Moves und Spezialattacken. Jede Runde besteht aus zwei Kämpfen in denen es deine Aufgabe ist die Energie deines Gegenübers zu minimieren um den Kampf zu bestehen und wenn du es zweimal schaffst wirst du als Sieger hervorgehen. Bei einem Unentschieden gibt es eine dritte alles Entscheidende Runde. Es gibt ein Zeitlimit und sollte dieses ablaufen, gewinnt der Spieler mit der meisten Energie den Kampf erfolgreich.
Bakumatsu Roman Daini Maku - Gekka no Kenshi - Tsuki ni Saku Hana, Chiri Yuku Hana ~ The Last Blade 2 (Japan) (En,Ja,Es,Pt)	The Last Blade 2: Heart of the Samurai ist ein 2D-Kampfspiel mit Charakteren im Anime-Stil, die mit Schwertern, Keulen und sogar Angelruten gegeneinander kämpfen. Diese Charaktere führen ihre Spezialbewegungen mit den Controller-Bewegungen „Viertelkreis-zu-Halbkreis“ und „Doppel-Halbkreis“ aus, die an Street Fighter erinnern.
Baseball Stars 2 (Japan) (En,Ja)	Baseball Stars 2 ist der aufregende Nachfolger des Spielhallen-Klassikers Baseball Stars Professional. Er verbindet spritzige Zeichentrick-Grafik mit einer realitätsnahen Baseball-Simulation. Wähle eines von zwölf fiktiven Teams wie zum Beispiel die Tokyo Ninjas oder die New York Monsters. Beweise in zwei spannenden Schwierigkeitsstufen dein Starpotenzial. In der &quot;Fighting League&quot; bekommst du noch Hilfe vom Computer. In der &quot;Exciting League&quot; bist du dagegen auf dich allein gestellt! Setze spezielle Schläger ein, um besonders weit zu schlagen und wirf blitzschnelle Bälle, damit der Gegner ins Leere schlägt. Wenn es mal brenzlig wird, wechsele deinen Pinch Hitter ein, vielleicht hilft er dir aus der Patsche. Tauche ein in die dynamische und aufregende Baseball-Welt!
Baseball Stars Professional (Japan) (En,Ja)	Baseball Stars Professional ist der Nachfolger von Baseball Stars für das Nintendo Entertainment System und bietet Grafik im Comic-Stil. Wählen Sie aus einer Vielzahl von Teams, darunter Celestial Planets, Heavenly Bodies, Shadow Demons, Battle Knights, Fabulous Superstars und viele andere. Wählen Sie dann das Spielfeld aus, auf dem das Spiel ausgetragen werden soll: Das SNK-Stadion oder die SNK-Kuppel. Jedes Spielfeld hat die gleichen Abmessungen, aber die Kapazität variiert. Das Spiel wird auf die gleiche Weise gespielt wie normales Baseball. Verfügt über einen VS.-Modus, in dem zwei Spieler gegeneinander spielen können.
Big Tournament Golf ~ Neo Turf Masters (Japan) (En,Ja)	In diesem Golfspiel wählt der Spieler einen von sechs verfügbaren Golfern und nimmt an einer Reihe von Golfplätzen auf der ganzen Welt teil, darunter Japan (Fujiyama Oriental Golf Club), Amerika (Grand Canyon Golf Course), Australien (Blue Lagoon Golf Course) und Deutschland (Baden Golf Course). Das Spiel verfügt über zwei Spielmodi. Der erste ist Stroke Play, bei dem der Spieler versucht, die höchste Punktzahl zu erreichen, indem er alle 18 Löcher spielt. Die zweite ist Match Play, bei dem zwei Spieler gegeneinander antreten, um zu sehen, wer mehr von den 18 Löchern gewinnen kann.
Breakers (Japan) (En,Ja)	Wählen Sie in Breakers einen von acht Kämpfern aus, die über eigene Bewegungen und Spezialangriffe verfügen. Es gibt acht Phasen im Spiel und jede Phase hat zwei Schlachten. Ziel jedes Kampfes ist es, die Energie des Gegners zu verbrauchen, um den Kampf zu gewinnen. Bei einem Unentschieden findet ein dritter Kampf statt. Läuft das Zeitlimit ab, verliert der Spieler mit weniger Energie den Kampf. Sobald Sie alle acht Etappen abgeschlossen haben, treffen Sie auf einen Gegner, der viel härter ist als die vorherigen. Abhängig vom ausgewählten Charakter werden unterschiedliche Enden und Dialoge im Spiel angezeigt.
