#key	synopsis
2020 Super Baseball (Japan) (En,Ja)	En el año 2020, el béisbol ha evolucionado. Ya no existe el béisbol profesional convencional en el año 2020. El béisbol diseñado por la Asociación de Súper Béisbol ha sido muy popular y es el mejor deporte. Sin embargo, la verdad es que la asociación ha utilizado una suma colosal de dinero para promover el Super Béisbol como negocio del espectáculo. Han manipulado la habilidad de cada jugador usando la computadora de control para decidir secretamente la victoria o la derrota en cada juego. Los jugadores que sabían esto quitaron las partes conectadas de la computadora para jugar su propio juego de béisbol. Finalmente, se jugará un juego justo en el Cyber Egg Stadium.
ADK World (Japan)	ADK World es un disco de fans con juegos de varios juegos de ADK, como personajes de World Heroes, Aggressors of Dark Kombat, Ninja Commando y otros. Similar a Neo Geo CD Special, el juego es un juego de ómnibus que presenta varios tipos de minijuegos por su contenido. Fue lanzado el 10 de noviembre de 1995 para el CD de Neo Geo. La obra de arte en el juego está bien deformada o rediseñada para personas de todas las edades. 19YY - un juego de disparos de desplazamiento lateral con Brocken. Mientras vuelan en el aire, los jugadores usan sus ataques especiales para interrumpir los misiles enemigos. Neo-Quiz: una aventura de preguntas donde los jugadores responden preguntas de varios personajes de ADK. ADK Dome: un juego de batalla de cartas con varios personajes ADK. También presenta un &quot;juego de lucha&quot; de piedra, papel y tijera. Cafe De ADK: un rincón informativo que se centra en tres categorías: personajes ninja, reparto misceláneo e historia del juego. Personajes de Magician Lord, Ninja Combat, Blue's Journey, Ninja Commando y World Heroes hacen apariciones. Enumera la información de la biografía, la historia de fondo oficial y destaca las ilustraciones (concepto u original) de cada personaje. Brown Academy - una base de datos completa para los personajes de World Heroes. ADK Corner: un programa de charlas con Janne D'Arc y Ryoko Izumo. Muestran y discuten mercancía, noticias y otras trivialidades sobre la compañía. Mysterious Shack: características extra desbloqueables una vez que ciertas condiciones ocultas se encuentran con los otros edificios.
Art of Fighting - Ryuuko no Ken Gaiden ~ The Path of the Warrior - Art of Fighting 3 (World) (En,Ja,Es,Pt)	En esta tercera y última entrada de la serie Art of Fighting, la historia pasa de Ryo Sakazaki a su mejor amigo y rival, Robert García, cuando se aventura en México para intentar localizar a Freia Lawrence, un amigo de la infancia, que le pidió ayuda. Sin embargo, se va sin el consentimiento de la Fundación García, que envía a un agente llamado Karman Cole para recuperarlo. Pero no todo es tan simple como parece... porque Robert no es el único que busca a Freia. Art of Fighting 3: The Path of The Warrior presenta diez personajes jugables con diferentes estilos de lucha, un sistema de lucha completamente nuevo basado en combinaciones de joystick y botones, y unos gráficos y una animación increíblemente detallados.
ASO II - The Last Guardian ~ Alpha Mission II (Japan) (En,Ja)	Se pensó que la pesadilla lunar que duro 200 años con una sangrienta guerra espacial había terminado en la &quot;original&quot; MISIÓN ALFA. Pero ahora, con el advenimiento de armas técnicamente más sofisticadas, el malvado &quot;Fulvar&quot; y su &quot;Alianza Siete Estrellas&quot; han vuelto a destruir todos los planetas que se encuentran en su camino hacia el objetivo final ... ¡ La Tierra! Ahora en el año de 2525 tu misión como piloto del nuevo SYD-FX es usar todas las armas a su disposición para librar a la galaxia de una vez por todas del mal que ahora domina y amenaza a la Tierra. Prepárate ... ¡puede que nunca vuelvas!
Bakumatsu Roman - Gekka no Kenshi ~ The Last Blade (Japan) (En,Ja,Es,Pt)	Elige uno de los varios personajes con los que jugar, cada uno con sus propios movimientos y ataques especiales. Cada etapa del juego tiene dos batallas, donde el objetivo de cada una es agotar la energía de tu oponente para completar la batalla, y completarás la etapa si lo haces dos veces. Si hay un empate, entonces se juega una tercera batalla. Hay un límite de tiempo, y cuando éste expira, el jugador con más energía gana la batalla.
Bakumatsu Roman Daini Maku - Gekka no Kenshi - Tsuki ni Saku Hana, Chiri Yuku Hana ~ The Last Blade 2 (Japan) (En,Ja,Es,Pt)	The Last Blade 2: Heart of the Samurai es un juego de lucha en 2D con personajes de estilo anime que se enfrentan entre sí con espadas, palos e incluso cañas de pescar. Estos personajes realizan sus movimientos especiales con los movimientos de control de &quot;cuarto de círculo a medio círculo&quot; y &quot;doble medio círculo&quot;, que recuerdan a Street Fighter.
Baseball Stars 2 (Japan) (En,Ja)	Esta continuación de Baseball Stars Professional presenta un béisbol de estilo arcade de ritmo rápido con seis equipos ficticios, cada uno con sus propias fortalezas y debilidades. Hay dos dificultades de juego: Principiante, que automáticamente lanza la pelota para el jugador mientras que Excitante hace que el jugador haga el campo manualmente. Además, hay dos modos de juego principales en los que en el modo de un solo jugador el jugador competirá en un torneo de quince equipos o se enfrentará a un amigo en el modo multijugador.
Baseball Stars Professional (Japan) (En,Ja)	Baseball Stars Professional es la continuación de Baseball Stars para el Nintendo Entertainment System, y presenta gráficos de estilo cómico. Elige entre una variedad de equipos que incluyen Planetas Celeste, Cuerpos Celestiales, Demonios de las Sombras, Caballeros de Batalla, Superestrellas Fabulosas y muchos otros. Luego selecciona el campo donde se desarrollará el juego: El estadio SNK o la cúpula SNK. Cada campo tiene las mismas dimensiones, pero su capacidad varía. El juego se juega de la misma manera que el béisbol normal. Tiene un modo VS. en el que dos jugadores pueden jugar uno contra el otro.
Big Tournament Golf ~ Neo Turf Masters (Japan) (En,Ja)	Neo Turf Masters es un juego de golf que ofrece la posibilidad de jugar en tres países diferentes. Puedes jugar en los EE.UU., Alemania y Japón. Hay 18 hoyos por campo, como en la vida real, que suman un total de 54 hoyos. El juego cuenta con un modo para dos jugadores y tres modos para un solo jugador. Puedes elegir uno de los seis personajes diferentes, que tienen cada uno sus propios puntos fuertes y débiles. Como en muchos otros juegos de golf, utilizas un tipo de juego de clic preciso, en el que haces clic en un mapa superior donde quieres golpear la bola, y luego ajustas el gancho, el corte y la potencia. En el modo Versus, puedes ganar &quot;superclubes&quot; que sólo pueden usarse una vez. Estos también pueden ser intercambiados entre amigos.
Breakers (Japan) (En,Ja)	En Breakers, elige uno de los ocho luchadores que tienen sus propios movimientos y ataques especiales. Hay ocho etapas en el juego, y cada etapa tiene dos batallas. El objetivo de cada batalla es agotar la energía de tu oponente para ganar la batalla. Si hay un empate, una tercera batalla tiene lugar. Si el límite de tiempo expira, el jugador con menos energía pierde la batalla. Una vez que hayas completado las ocho etapas, te enfrentarás a un oponente mucho más duro que los anteriores. Dependiendo del personaje que selecciones, se verán diferentes finales y diálogos dentro del juego.
Burning Fight (Japan) (En,Ja)	Burning Fight es un juego de peleas callejeras de desplazamiento lateral similar a Final Fight. Como Duke, Billy o Ryu, debes abrirte camino a través de los distintos lugares de Osaka. Al principio del juego, sólo puedes usar tus puños para enfrentarte a las bandas, pero al romper cosas como cabinas telefónicas y carteles de calle en el camino, puedes conseguir nuevas armas y más salud. Al final de cada ubicación, tendrás que derrotar a un jefe para poder continuar la misión.
Choujin Gakuen - Gowcaizer ~ Voltage Fighter - Gowcaizer (World) (En,Ja)	El aspecto principal del juego es un juego de lucha en 2D en el que SNK es conocido principalmente por... El jugador puede elegir entre 10 personajes diferentes, cada uno con sus propios movimientos y habilidades. Una característica que este juego tiene sobre otros juegos del género es la capacidad de añadir a un enemigo derrotado habilidades especiales a su propio repertorio, sin embargo, sólo pueden hacer un movimiento a la vez y si deciden cambiar un movimiento, el anterior se pierde para el resto del juego. Además, cuando el jugador derrota a su imagen en el espejo, su movimiento será amplificado. El jugador se enfrentará a cada oponente dos veces en un estilo de torneo antes de llegar al jefe final al final de la partida.
Choutetsu Brikin'ger ~ Ironclad - Tesshou Rusha (Japan) (En,Ja)	Ironclad es un juego de desplazamiento lateral de disparos para el CD de Neo Geo. Usa tu nave de guerra para salvar el Reino de Chop de la República de la Máscara de Hierro. Puedes usar tres armas de explosión principales, que se pueden mejorar cuando recojas más objetos, un ataque cargado disponible cuando Iron Clad esté acoplado a tu nave, tres armas de combate cuerpo a cuerpo, un bombardero que elimina todas las balas enemigas y varios patrones de disparo. Las etapas son seleccionables, y hay múltiples finales.
Crossed Swords (Japan)	Como caballero, debes viajar por el campo luchando contra monstruos y bandidos con tu espada y tu escudo. Cuando entras en combate, la vista cambia a una perspectiva de seudo-primera persona donde el cuerpo de tu caballero se perfila para que puedas ver las criaturas con las que estás luchando. Cuando los enemigos han sido derrotados, dejan caer dinero y potenciadores. Hay siete capítulos en el juego, y cada capítulo (excepto uno) comienza con la entrada en una tienda de comercio y la compra de armas con el dinero que has recogido hasta ahora. También hay caminos alternativos que te llevan a diferentes partes del juego. Al comienzo del juego, puedes elegir un capítulo (sólo de uno a tres) en el que quieras empezar.
Crossed Swords II (Japan) (En,Ja)	Crossed Swords II es una secuela de Crossed Swords lanzada en exclusiva para el CD Neo Geo. Nausizz regresa con su castillo emergiendo del inframundo justo en el medio de Belkana. Tres valientes guerreros unen sus fuerzas para acabar con el reino de terror de Nausizz. El juego amplía la jugabilidad del original añadiendo un nuevo botón para saltar y correr, dando al jugador habilidades extra y permitiéndole esquivar los ataques entrantes. El juego ofrece dos modos de juego: &quot;Nausizz Counterattack&quot; que es el modo de historia y &quot;Karividu Arena&quot; que es un modo de supervivencia.
Cyber-Lip (Japan) (En,Ja)	Cyber-Lip es un juego de desplazamiento lateral para 1 o 2 jugadores en el que debes abrirte camino a través de varias áreas y derrotar a un jefe al final de cada una. A lo largo del camino, puedes coger varias armas y usarlas contra los invasores. Al destruir a ciertos enemigos, recibes un &quot;core bot&quot;, que es un anillo que te rodea, y cuando éste toca a los invasores, son destruidos. El tiempo está en tu contra. Cuando expira, pierdes una vida. Entre la mayoría de los niveles, entras en un ascensor que te permite ir en la dirección que quieras: arriba o abajo. Si esperas demasiado tiempo para hacer una selección, te colocan automáticamente en la misión &quot;Peligro&quot;.
Double Dragon (Export) (En,Ja)	Double Dragon es un juego de lucha lanzado en 1995 por Technos Japan, un título que se incluye dentro de la conocida saga del mismo nombre. Está basado en la película Double Dragon de 1994, la cual a su vez se basaba en el juego arcade original (Konami, 1988). En el juego, el mundo se ha sumido en el caos; la policía sólo patrulla durante el día, y la noche pertenece a las bandas y al crimen organizado. Koga Shuko es un empresario corrupto que desea el poder absoluto. Para lograrlo debe reunir los dos fragmentos del doble dragón para formar un amuleto que le otorgará grandes poderes. Lo malo es que una parte del amuleto está en poder de los hermanos Lee, dos expertos en artes marciales que se ganan la vida peleando. Sobre la plantilla de luchadores, disponemos de 10 personajes jugables y otros dos ocultos, haciendo un total de 12 personajes por manejar.
Dunk Dream ~ Street Slam ~ Street Hoop (World)	Street Hoop es un juego de baloncesto callejero de 3 contra 3. Uno o dos jugadores pueden elegir entre 10 equipos: Francia, España, EE.UU., Italia, Alemania, Taiwán, Reino Unido, China, Japón y Corea del Sur (en las versiones europea y japonesa. La versión de EE.UU. incluye ciudades locales). Los equipos se clasifican de 1 a 9 puntos en cuatro atributos (mate, 3 puntos, velocidad y defensa). Cada juego dura dos mitades de 2 minutos cada una. El juego termina si el jugador pierde la primera mitad, necesitando gastar una continuación para jugar la segunda mitad.
