#key	synopsis
2020 Super Baseball (Japan) (En,Ja)	Super Baseball 2020 sur Neo Geo est un jeu de sport futuriste reprenant les bases du baseball en détournant certaines règles. Vous aurez donc le plaisir de tenter des homeruns avec un robot en guise de batteur.
ADK World (Japan)	ADK World (ADK Special au Japon) est un jeu vidéo du type mini-jeux développé par ADK et édité par SNK en 1995 uniquement au Japon et uniquement sur Neo-Geo CD Le logiciel permet d'accéder à un menu sous forme de carte de ville appelée ADK Town. Le laboratoire du professeur Brown permet d'accéder à des fiches des personnages de World Heroes et à un dessin de World Heroes Perfect. Le Café de ADK permet d'accéder à des informations, des jaquettes et artworks sur des personnages de l'univers d'ADK : Magician Lord, Ninja Combat, Ninja Commando, Aggressors of Dark Kombat, Crossed Swords II, World Heroes, Blue's Journey et Rally Chase. L'immeuble ADK est un questionnaire de fans auquel ADK répond. ADK Corner, une discussion à propos d'ADK. Mysterious Shack permet dedébloquer des options cachées.
Art of Fighting - Ryuuko no Ken Gaiden ~ The Path of the Warrior - Art of Fighting 3 (World) (En,Ja,Es,Pt)	The Path of the Warrior : Art of Fighting 3 sur Neo Geo possède très peu de liens scénaristiques en rapport avec les deux précédents volets. Qu'importe, l'essentiel ici est la baston. Tout d'abord comptez huit persos jouables, plus deux à débloquer. Ajoutez à cela une animation d'une fluidité accrue et bluffante pour l'époque. La clé de la victoire réside dans l'esquive, plus importante que jamais dans un Art of Fighting.
ASO II - The Last Guardian ~ Alpha Mission II (Japan) (En,Ja)	En l'an 2525, l'espace est à nouveau menacé. Seul le légendaire Super Jet Plane SYD peut vaincre l'armada envahissante et détruire le Fulvalence Groma. Alpha Mission II est un jeu de tir à défilement vertical descendant et la suite d'Alpha Mission. Lorsque le jeu commence, le joueur choisit deux armures pour son SYD, et des armures supplémentaires peuvent être achetées à la fin de chaque niveau. Les armures ajoutent une puissance de feu supplémentaire au vaisseau lorsqu'elles sont équipées et seront détruites si le vaisseau est touché. Les armes principales du SYD sont un laser direct et des bombes, ells peuvent être améliorées à partir d'icônes larguées par certains ennemis. Comme dans Xevious, les cibles terrestres ne peuvent être touchées que par des bombes, tandis que les cibles aériennes ne peuvent être touchées que par des lasers.
Bakumatsu Roman - Gekka no Kenshi ~ The Last Blade (Japan) (En,Ja,Es,Pt)	Choisissez parmi les 14 protagonistes de The Last Blade sur Neo Geo, une référence du jeu de combat sur cette console. De nombreux combattants disposent d'un sabre, leur maniabilité et leur style requièrent une technique bien distincte de leurs homologues se battant à mains nues, diversifiant ainsi le plaisir de jeu.
Bakumatsu Roman Daini Maku - Gekka no Kenshi - Tsuki ni Saku Hana, Chiri Yuku Hana ~ The Last Blade 2 (Japan) (En,Ja,Es,Pt)	The Last Blade 2 sur Neo Geo est un jeu de combat en 2D. Les affrontements se font à l'arme blanche, au club de golf et autres cannes à pêche. Le jeu recèle une très grande variété de mouvements et parades, et requiert donc une certaine technicité.
Baseball Stars 2 (Japan) (En,Ja)	1994 - SNK Genre : baseball/sport Excellent jeu de baseball, typé un peu arcade pour le fun (Powerbat) avec de gros sprites, ce qui n'est pas donné à tous les jeux du style. Nette amélioration comparé au 1er du nom. Seulement deux modes de jeu : Arcade dans lequel il faut affronter les équipes les unes derrière les autres à condition de gagner bien évidemment, et le mode Versus pour affronter un pote. Pour moi une référence en la matière. Pour les fans de jeu de baseball, allez-y les yeux fermés, c'est mon préféré !
Baseball Stars Professional (Japan) (En,Ja)	Baseball Stars Professional est la suite de Baseball Stars (sorti initialement sur nes) et présente des graphismes de style bande dessinée. Choisissez parmi une variété d'équipes comprenant les Celestial Planets, Celestial Corps, Shadow Demons, Battle Knights, Fabulous Superstarses, et bien d'autres. Sélectionnez ensuite le terrain sur lequel le match doit se dérouler : Le stade SNK ou le dôme SNK. Chaque terrain a les mêmes dimensions, mais leur capacité varie. Le jeu se déroule de la même manière que le baseball normal. Il comprend un mode VS. dans lequel deux joueurs peuvent s'affronter.
Big Tournament Golf ~ Neo Turf Masters (Japan) (En,Ja)	Neo Turf Masters est un jeu de golf qui propose de jouer dans trois pays différents. Vous pouvez jouer aux États-Unis, en Allemagne et au Japon. Il y a 18 trous par parcours, comme dans la vie réelle, ce qui fait un total de 54 trous. Le jeu propose un mode versus à deux joueurs et trois modes solo. Vous pouvez choisir l'un des six personnages différents, qui ont chacun leurs propres forces et faiblesses. Comme beaucoup d'autres jeux de golf, vous utilisez un type de jeu à clics précis, où vous cliquez dans une carte aérienne où vous voulez frapper la balle, puis ajustez le crochet, le slice et la puissance. En mode Versus, vous pouvez gagner des &quot;super-clubs&quot; qui ne peuvent être utilisés qu'une seule fois. Ils peuvent également être échangés entre amis.
Breakers (Japan) (En,Ja)	1997 - Visco Genre : baston Encore un jeu de baston honnête mais qui a du mal à se démarquer des autres. C'est classique, pas mauvais mais pas trop original. En tout cas bien loin d'égaler un AOF3 par exemple, la série phare de Capcom, et des personnages similaires, à ceci près que SNK s'est amusé à &quot;brouiller&quot; les pistes en effectuant quelques mixes... (ainsi on obtient une Chun Li faisant des Shoryuken). Breakers donne une très bonne impression de prime abord mais qui s'estompe peu à peu. En effet, les graphismes sont soignés (surtout au niveau des personnages, certains décors laissant franchement à désirer), la jouabilité est d'une remarquable efficacité et le fond sonore (que ce soit musique ou bruitages) est plus &quot;arcade&quot; que jamais. Mais les puristes ne s'y méprendront pas, ce jeu n'arrive pas à la cheville du légendaire Street Fighter, il pêche par sa facilité technique (les combos sortent à la pelle), ce qui lui retire toute profondeur.
