#key	synopsis
2020 Super Baseball (Japan) (En,Ja)	Nell'anno 2020, il baseball si è finalmente evoluto. Non esiste più il baseball professionistico convenzionale nel 2020. Il baseball progettato dalla Super Baseball Association è stato molto popolare ed è lo sport migliore. nnTuttavia, la verità è che l'associazione ha utilizzato una colossale somma di denaro per promuovere il Super Baseball come spettacolo. Hanno manipolato l'abilità di ogni giocatore usando il computer di controllo per decidere segretamente la vittoria o la sconfitta in ogni partita. I giocatori che sapevano questo hanno rimosso le parti di collegamento del computer per giocare la propria partita di baseball. Infine, al Cyber Egg Stadium si giocherà una partita leale. nnNel 2020 Super Baseball è un gioco frenetico con nuove regole, in cui puoi selezionare 1 su 12 giocatori individuali di uomini, donne o robot. Durante il gioco, puoi rafforzare la tua squadra con i premi guadagnati da catture straordinarie.
ADK World (Japan)	ADK World (ADK Special in Giappone) è un videogioco di mini-gioco sviluppato da ADK e pubblicato da SNK nel 1995 solo in Giappone e solo su Neo-Geo CD. Il software consente di accedere a un menu sotto forma di mappa della città chiamato ADK Town. Il laboratorio del professor Brown permette di accedere alle carte dei personaggi di World Heroes e ad un disegno di World Heroes Perfect. L'ADK Cafe fornisce l'accesso a informazioni, copertine e opere d'arte sui personaggi dell'universo ADK: Magician Lord, Ninja Combat, Ninja Commando, Aggressors of Dark Kombat, Crossed Swords II, World Heroes, Blue's Journey e Rally Chase. L'edificio ADK è un questionario per i fan a cui risponde ADK. ADK Corner, una discussione su ADK. Mysterious Shack permette di sbloccare le opzioni nascoste.
Art of Fighting - Ryuuko no Ken Gaiden ~ The Path of the Warrior - Art of Fighting 3 (World) (En,Ja,Es,Pt)	In questa terza e ultima voce della serie Art of Fighting, la storia si sposta da Ryo Sakazaki al suo migliore amico e rivale, Robert Garcia, mentre si avventura in Messico per cercare di localizzare Freia Lawrence, un'amica d'infanzia, che ha chiesto il suo aiuto . Tuttavia, se ne va senza il consenso della Fondazione Garcia, che invia un agente di nome Karman Cole per riaverlo. Ma non tutto è così semplice come sembra... perché Robert non è l'unico a cercare Freia. nnArt of Fighting 3: The Path of The Warrior presenta dieci personaggi giocabili con diversi stili di combattimento, un sistema di combattimento completamente nuovo basato su combinazioni di joystick e pulsanti e grafica e animazioni incredibilmente dettagliate.
ASO II - The Last Guardian ~ Alpha Mission II (Japan) (En,Ja)	Si pensava che l'incubo lunare di una sanguinosa guerra spaziale durata 200 anni fosse finito nella &quot;originale&quot; MISSIONE ALPHA. Ma ora, con l'avvento di armi tecnicamente più sofisticate, il malvagio &quot;Fulvar&quot; e la sua &quot;Alleanza delle sette stelle&quot; sono tornati per distruggere tutti i pianeti che si frappongono all'obiettivo finale... la Terra! Ora nell'anno 2525! La tua missione come pilota del nuovo caccia SYD-FX è usare ogni arma a tua disposizione per liberare la galassia una volta per tutte dal male che ora domina e minaccia la Terra. Quindi preparati, trattieni il respiro e preparati per una grafica incredibile e un suono stereo che ti risucchierà nelle profondità dello spazio interiore profondo e oscuro. Preparati... potresti non tornare mai più!
Bakumatsu Roman - Gekka no Kenshi ~ The Last Blade (Japan) (En,Ja,Es,Pt)	Scegli uno dei tanti personaggi con cui giocare, ognuno con le proprie mosse uniche e attacchi speciali. Ogni fase del gioco ha due battaglie, in cui l'obiettivo di ciascuna è di prosciugare l'energia del tuo avversario per completare la battaglia e completerai la fase se lo fai due volte. Se c'è un pareggio, allora viene giocata una terza battaglia. C'è un limite di tempo e, quando questo scade, il giocatore con più energia vince la battaglia.
Bakumatsu Roman Daini Maku - Gekka no Kenshi - Tsuki ni Saku Hana, Chiri Yuku Hana ~ The Last Blade 2 (Japan) (En,Ja,Es,Pt)	The Last Blade 2: Heart of the Samurai è un gioco di combattimento in 2D che presenta personaggi in stile anime che combattono tra loro con spade, mazze e persino canne da pesca. Questi personaggi eseguono le loro mosse speciali con quei movimenti del controller &quot;da un quarto di cerchio a un mezzo cerchio&quot; e &quot;doppio semicerchio&quot;, che ricordano Street Fighter.
Baseball Stars 2 (Japan) (En,Ja)	Questo seguito di Baseball Stars Professional presenta un frenetico baseball in stile arcade con sei squadre fittizie, ognuna con i propri punti di forza e di debolezza. Ci sono due difficoltà di gioco: Principiante, che schiera automaticamente la palla per il giocatore mentre Emozionante fa fare il campo al giocatore manualmente. Inoltre, ci sono due modalità di gioco principali in cui nella modalità giocatore singolo il giocatore gareggerà in un torneo a quindici squadre o si sfiderà testa a testa contro un amico in una modalità multiplayer. nnLe regole standard del baseball si applicano ancora, ma aggiunge potenziamenti che il giocatore può raccogliere e utilizzare durante il gioco, come la capacità del lanciatore di lanciare più velocemente o del battitore di colpire meglio. Possono anche sostituire un giocatore durante la partita, ma sono limitate a tre sostituzioni per partita. Il gioco è mostrato attraverso una grafica 2D con filmati in stile fumetto per illustrare l'azione, come catture drammatiche e fuoricampo che appariranno durante il gioco.
Baseball Stars Professional (Japan) (En,Ja)	Baseball Stars Professional è il seguito di Baseball Stars per il Nintendo Entertainment System e presenta una grafica in stile fumetto. Scegli tra una varietà di squadre che includono Celestial Planets, Heavenly Bodies, Shadow Demons, Battle Knights, Fabulous Superstars e molti altri. Quindi seleziona il campo in cui si terrà la partita: lo stadio SNK o la cupola SNK. Ogni campo ha le stesse dimensioni, ma la loro capacità varia. Il gioco si gioca allo stesso modo del normale baseball. Dispone di un VS. modalità in cui due giocatori possono giocare l'uno contro l'altro.
Big Tournament Golf ~ Neo Turf Masters (Japan) (En,Ja)	Neo Turf Masters è un gioco di golf che offre giochi in tre paesi diversi. Puoi giocare negli Stati Uniti, in Germania e in Giappone. Ci sono 18 buche per percorso, proprio come nella vita reale, per un totale di 54 buche. Il gioco presenta una modalità contro due giocatori e tre modalità per giocatore singolo. Puoi scegliere tra uno dei sei diversi personaggi, ognuno con i propri punti di forza e di debolezza. Come in molti altri giochi di golf, utilizzi un tipo di gioco con un clic accurato, in cui fai clic su una mappa aerea in cui desideri colpire la pallina, quindi regola gancio, taglio e potenza. Nella modalità Versus, puoi guadagnare &quot;super-mazze&quot; che possono essere utilizzate solo una volta. Questi possono anche essere scambiati tra amici.
Breakers (Japan) (En,Ja)	In Breakers, scegli uno degli otto combattenti che hanno le proprie mosse e attacchi speciali. Ci sono otto fasi nel gioco e ogni fase ha due battaglie. L'obiettivo di ogni battaglia è prosciugare l'energia del tuo avversario per vincere la battaglia. Se c'è un pareggio, ha luogo una terza battaglia. Se il limite di tempo scade, il giocatore con meno energia perde la battaglia. Una volta completate tutte le otto fasi, affronterai un avversario molto più duro dei precedenti. Finali e dialoghi di gioco diversi vengono visualizzati a seconda del personaggio selezionato.
