#key	synopsis
ADK World (Japan)	ADK World é um jogo de fãs com diversos jogos, como personagens de World Heroes, Aggressors of Dark Kombat, Ninja Commando e outros. Semelhante ao Neo Geo CD Special, o jogo é um jogo omnibus que apresenta vários tipos de minijogos para o seu conteúdo. Foi lançado em 10 de novembro de 1995 para o Neo Geo CD. A obra de arte no jogo é super deformada ou redesenhada para pessoas de todas as idades. 19YY - um jogo de tiro lateral com Brocken. Enquanto voam no ar, os jogadores usam seus ataques especiais para atrapalhar os mísseis inimigos. Neo-Quiz - uma aventura de perguntas e respostas onde os jogadores respondem a perguntas de vários personagens do ADK. ADK Dome - um jogo de batalha de cartas usando vários personagens ADK. Também apresenta um &quot;jogo de luta&quot; de pedra e papel-tesoura. Cafe De ADK - um canto informativo com foco em três categorias: personagens ninja, elenco variado e histórico do jogo. Personagens de Magician Lord, Ninja Combat, Blue's Journey, Ninja Commando e World Heroes fazem aparições. Lista informações bio, histórico oficial e destaca o conceito - ou original - para cada personagem. Brown Academy - um banco de dados abrangente para os personagens do World Heroes. ADK Corner - um talkshow com Janne D'Arc e Ryoko Izumo. Eles mostram e discutem mercadorias, notícias e outras curiosidades sobre a empresa. Mysterious Shack - apresenta extras desbloqueáveis, uma vez que certas condições ocultas são satisfeitas com os outros edifícios.
Art of Fighting - Ryuuko no Ken Gaiden ~ The Path of the Warrior - Art of Fighting 3 (World) (En,Ja,Es,Pt)	Nesta terceira e última entrada na série Art of Fighting, a história muda de Ryo Sakazaki para seu melhor amigo e rival, Robert Garcia, enquanto ele se aventura no México para tentar localizar Freia Lawrence, uma amiga de infância, que pediu sua ajuda. . No entanto, ele sai sem o consentimento da Fundação Garcia, que envia um agente chamado Karman Cole para recuperá-lo. Mas nem tudo é tão simples quanto parece... porque Robert não é o único que procura Freia. Art of Fighting 3: The Path of The Warrior apresenta dez personagens jogáveis ​​com diferentes estilos de luta, um sistema de luta completamente novo baseado em combinações de joystick e botões e gráficos e animações incrivelmente detalhados.
ASO II - The Last Guardian ~ Alpha Mission II (Japan) (En,Ja)	O pesadelo lunar da sangrenta guerra espacial de 200 anos pensava-se ter acabado no ALPHA MISSION &quot;original&quot;. Mas agora, com o advento de armas tecnicamente mais sofisticadas, o malvado &quot;Fulvar&quot; e sua &quot;Aliança Sete Estrelas&quot; voltaram a destruir todos os planetas que estão no caminho do alvo final ... Terra! Agora no ano de 2525! Sua missão como piloto do novo caça SYD-FX é usar todas as armas à sua disposição para livrar a galáxia de uma vez por todas do mal que agora domina e ameaça a Terra. Portanto, prepare-se, prenda a respiração e prepare-se para gráficos inacreditáveis e som estéreo que o levarão para o profundo, escuro espaço interior. Esteja preparado ... você pode nunca mais voltar!
Bakumatsu Roman - Gekka no Kenshi ~ The Last Blade (Japan) (En,Ja,Es,Pt)	Escolha um dos vários personagens para jogar, cada um com seus próprios movimentos e ataques especiais. Cada fase do jogo possui duas batalhas, onde o objetivo de cada uma é esgotar a energia do seu oponente para completar a batalha, e você completará a fase se fizer isso duas vezes. Se houver empate, uma terceira batalha é jogada. Há um limite de tempo e, quando o limite de tempo expirar, o jogador com mais energia vence a batalha.
Bakumatsu Roman Daini Maku - Gekka no Kenshi - Tsuki ni Saku Hana, Chiri Yuku Hana ~ The Last Blade 2 (Japan) (En,Ja,Es,Pt)	The Last Blade 2: Heart of the Samurai é um jogo de luta 2D com personagens de estilo anime que se enfrentam com espadas, porretes e até varas de pescar. Esses personagens executam seus movimentos especiais com os movimentos de controle &quot;quarto de círculo a meio círculo&quot; e &quot;meio círculo duplo&quot;, reminiscentes de Street Fighter.
Baseball Stars 2 (Japan) (En,Ja)	BASEBALL STARS 2 é um jogo esportivo lançado pela SNK em 1992. Obtenha a experiência completa com gráficos intensos e anunciadores apaixonados! Hora de ver um pouco de beisebol emocionante! Use o Power-bat para mandar a bola voar para um incrível home run! O sistema Auto-Fielding permite que até os principiantes desfrutem da intensa jogabilidade. A série &quot;ACA NEOGEO&quot; reproduziu fielmente muitas obras-primas clássicas da NEOGEO. Os jogadores podem alterar várias configurações do jogo, como dificuldade de jogo, e também reproduzir a atmosfera das configurações de exibição de arcade naquele momento. Os jogadores também podem competir uns contra os outros de todo o mundo com suas pontuações mais altas. * Este título é baseado na versão MVS (NEOGEO for arcades). Pode haver diferenças entre esta versão e as versões para o console NEOGEO e outros consoles domésticos.
Baseball Stars Professional (Japan) (En,Ja)	O Baseball Stars Professional é o sucessor das Baseball Stars para o Nintendo Entertainment System e apresenta gráficos em estilo de banda desenhada. Escolha entre uma variedade de equipes que incluem Planetas Celestes, Corpos Celestes, Demônios das Sombras, Cavaleiros da Batalha, Superestrelas Fabulosas e muitos outros. Em seguida, selecione o campo onde o jogo será realizado: o estádio SNK ou a cúpula SNK. Cada campo tem as mesmas dimensões, mas sua capacidade varia. O jogo é jogado da mesma maneira que o beisebol normal. Apresenta um VS. modo em que dois jogadores podem jogar uns contra os outros
Big Tournament Golf ~ Neo Turf Masters (Japan) (En,Ja)	Neo Turf Masters é um jogo de golfe que oferece a possibilidade de jogar em três países diferentes. Você pode jogar nos Estados Unidos, Alemanha e Japão. São 18 buracos por campo, como na vida real, num total de 54 buracos. O jogo apresenta um modo para dois jogadores e três modos para um jogador. Você pode escolher um dos seis personagens diferentes, cada um com seus próprios pontos fortes e fracos. Como muitos outros jogos de golfe, você usa um tipo de jogabilidade de clique preciso, onde clica em um mapa superior onde deseja acertar a bola e, em seguida, ajusta o gancho, corte e força. No modo Versus, você pode ganhar &quot;super clubes&quot; que só podem ser usados ​​uma vez. Estes também podem ser negociados entre amigos.
Breakers (Japan) (En,Ja)	Em Breakers, escolha um dos oito lutadores, cada um com seus próprios movimentos e ataques especiais. Existem oito fases no jogo, e cada fase tem duas batalhas. O objetivo de cada batalha é esgotar a energia do seu oponente para vencer a batalha. Se houver empate, ocorre uma terceira batalha. Se o limite de tempo expirar, o jogador com menos energia perde a batalha. Depois de concluir todas as oito etapas, você enfrentará um adversário muito mais difícil do que as anteriores. Dependendo do personagem que você selecionar, diferentes finais e diálogos serão vistos dentro do jogo.
Burning Fight (Japan) (En,Ja)	A família Castella da Metro City começou a arruinar a pacata cidade de Osaka com o violento grupo japonês &quot;Heiwa-gumi&quot;. Para parar a luta, os detetives da polícia do metrô enviaram dois personagens perigosos, Duke e Billy, para o Japão. Com o apoio do famoso detetive japonês Ryu, eles decidiram invadir a fortaleza do inimigo. Violência impiedosa nas luzes de neon de Osaka. Haverá um fim para esta guerra? Burning Fight é um jogo de luta de rua lateral semelhante ao Final Fight. Como Duke, Billy ou Ryu, você deve lutar em vários locais em Osaka. No início do jogo, você só pode usar seus punhos para lidar com gangues, mas quebrando coisas como cabines telefônicas e placas de rua ao longo do caminho, você pode obter novas armas e mais saúde. No final de cada local, você terá que derrotar um chefe para continuar a missão.
