#key	name	year	genre	developer	players
Baseball Stars Color - Pocket Sports Series (World) (En,Ja)	Baseball Stars Color	1999	Sports / Baseball/Sports	Saurus	1-2
Big Bang Pro Wrestling (Japan) (En,Ja)	Wrestling Madness	2000	Sports / Wrestling/Sports	S-Neo	2
Bikkuriman 2000 - Viva! Pocket Festival! (Japan)	Bikkuriman 2000 Viva!	2000	Adventure	SEGA	1
Biomotor Unitron (USA, Europe)	Biomotor Unitron	1999	Role Playing Game	Yumekobo	1-2
Bust-A-Move Pocket (USA)	Puzzle Bobble Mini	1999	Puzzle / Throw/Puzzle	Taito	1-2
Cool Boarders Pocket (Japan, Europe) (En,Ja)	Cool Boarders Pocket	2000	Sports / Skiing/Sports	UEP Systems	1
Cool Cool Jam (Japan)	Cool Cool Jam	2000	Rhythm/Music and Dancing	SNK	2
Crush Roller (World) (En,Ja)	Crush Roller	1999	Action / Labyrinth/Action	ADK	1-2
Dark Arms - Beast Buster 1999 (World) (En,Ja)	Dark Arms - Beast Buster 1999	1999	Role Playing Game	Noise Factory	1-2
Delta Warp (Japan) (En,Ja)	Delta Warp	2000	Puzzle	Iosys	1-2
Densetsu no Ogre Battle Gaiden - Zenobia no Ouji (Japan)	Densetsu no Ogre Battle: Zenobia no Ouji	2000	Role Playing Game/Strategy	Quest	1-2
Densha de Go! 2 on NeoGeo Pocket (Japan)	Densha de GO! 2	1999	Simulation / Vehicle/Simulation	Taito	1-2
Dive Alert - Becky's Version (USA, Europe)	Dive Alert - Becky's Version	1999	Role Playing Game	Sacnoth	1-2
Dive Alert - Matt's Version (USA, Europe)	Dive Alert : Matt's Version	2000	Role Playing Game	Sacnoth	1-2
Dokodemo Mahjong (Japan)	Dokodemo Mahjong	1999	Mahjong/Asiatic board game	ADK	1
Dynamite Slugger (Japan, Europe) (En,Ja)	Dynamite Slugger	2000	Sports / Baseball/Sports	ADK	1-2
Evolution - Eternal Dungeons (Europe) (vA1)	Evolution - Eternal Dungeons	2000	Role Playing Game	Sting	1-2
Fantastic Night Dreams - Cotton (Europe)	Fantastic Night Dreams - Cotton	2000	Shoot'em Up / Horizontal/Shoot'em Up	Success	1
Faselei! (USA, Europe)	Faselei!	1999	Strategy	Sacnoth	1
Fatal Fury - First Contact - Pocket Fighting Series (World) (En,Ja)	Fatal Fury - F-Contact	1999	Fighting / Versus/Fighting	SNK	1-2
Ganbare Neo Poke-kun (Kari) (Japan)	Ganbare Neo Poke Kun	2000	Simulation	SNK	1-2
Infinity Cure (Japan)	Infinity Cure	2000	Adventure	Kindle Imagine Develop	1
Kikou Seiki Unitron - Sono Tsuide. Hikari Umareru Chi Yori. (Japan)	Bio Motor Unitron 2	2000	Role Playing Game	Yumekobo	1-2
King of Fighters R-2 - Pocket Fighting Series (World) (En,Ja)	King of Fighters R-2	1999	Fighting / Versus/Fighting	SNK	1-2
King of Fighters, The - Battle de Paradise (Japan)	The King of Fighters - Battle de Paradise	2000	Board game	SNK	1-2
Koi Koi Mahjong (Japan) (v0B)	Koi Koi Mahjong	2000	Mahjong/Asiatic board game	Visco	1-2
Last Blade, The - Beyond the Destiny (USA, Europe)	The Last Blade : Beyond the Destiny	2000	Fighting	Saurus	1-2
Magical Drop Pocket (USA, Europe)	Magical Drop Pocket	1999	Puzzle	SAS Sakata	1-2
Memories Off - Pure (Japan)	Memories Off - Pure	2000	Adventure / Visual Novel/Adventure	Kindle Imagine Develop	1
Metal Slug - 1st Mission (World) (En,Ja)	Metal Slug : 1st Mission	1999	Shooter / Run and Gun/Shooter	Ukiyotei	1
Metal Slug - 2nd Mission (World) (En,Ja)	Metal Slug : 2nd Mission	2000	Shooter / Run and Gun/Shooter	Ukiyotei	1
Mezase! Kanji Ou (Japan)	Mezase! Kanji Ou	2000	Educational	SNK	1
Mizuki Shigeru no Youkai Shashinkan (Japan)	Mizuki Shigeru no Youkai Shashinkan	1999	Role Playing Game	Ukiyotei	1
Neo 21 - Pocket Casino Series (World)	Neo 21 : Real Casino Series	1999	Casino	Dyna	1-2
Neo Baccarat - Pocket Casino Series (Japan, Europe) (En) (v11)	Neo Baccarat - Real Casino Series	2000	Casino/Casino / Cards	Dyna	1-2
Neo Cherry Master Color - Pocket Casino Series (World) (En,Ja)	Neo Cherry Master Color : Real Casino Series	1999	Casino	Dyna	1-2
Neo Derby Champ Daiyosou (Japan)	Neo Derby Champ Daiyosou	1999	Horse racing/Casino / Race/Casino/Sports with animals	Dyna	1
Neo Dragon's Wild - Pocket Casino Series (World) (En,Ja) (v13)	Neo Dragon's Wild : Real Casino Series	1999	Casino	Dyna	1
Neo Mystery Bonus - Pocket Casino Series (World) (En,Ja)	Neo Mystery Bonus : Real Casino Series	1999	Casino	Dyna	1
Neo Poke Pro Yakyuu (Japan) (v1F)	Neo Poke Pro Yakyuu	1999	Sports / Baseball/Sports	SNK	1-2
Neo Turf Masters - Pocket Sports Series (World) (En,Ja)	Neo Turf Masters	1999	Sports / Golf/Sports	Saurus	1-2
NeoGeo Cup '98 Plus Color - Pocket Sports Series (World) (En,Ja)	NeoGeo Cup '98 Plus	1999	Sports / Football (Soccer)/Sports	SNK	1
Nige-ron-pa (Japan)	Nige-ron-pa	2000	Role Playing Game	Dennou Eizou	1
Pac-Man (World) (En,Ja)	Pac-Man	1999	Action / Labyrinth/Action	Namco	1
Pachi-Slot Aruze Oukoku - Porcano 2 (Japan)	Pachi-slot Aruze Oukoku Porcano 2	2000	Casino / Slot machine/Casino	Aruze	1
Pachi-Slot Aruze Oukoku Pocket - Azteca (Japan) (v06)	Pachisuro Azure Oogoku Pocket Azteca	2000	Casino / Slot machine/Casino	Aruze	1
Pachi-Slot Aruze Oukoku Pocket - Dekahel 2 (Japan)	Pachi Slot Aruze Oukoku Pocket : DH2	2001	Casino / Slot machine/Casino	Aruze	1
