#name	crc	size	key
Bakumatsu Rouman Tokubetsu Hen - Gekka no Kenshi - Tsuki ni Saku Hana, Chiri Yuku Hana (Japan)	be913cfa	2097152	Last Blade, The - Beyond the Destiny (USA, Europe)
Baseball Stars Color - Pocket Sports Series (World) (En,Ja)	d1434df5	1048576	Baseball Stars Color - Pocket Sports Series (World) (En,Ja)
Big Bang Pro Wrestling (Japan) (En,Ja)	f1716fdf	2097152	Big Bang Pro Wrestling (Japan) (En,Ja)
Bikkuriman 2000 - Viva! Pocket Festival! (Japan)	7a2d7635	1048576	Bikkuriman 2000 - Viva! Pocket Festival! (Japan)
Biomotor Unitron (Japan)	fcbbe494	1048576	Biomotor Unitron (USA, Europe)
Biomotor Unitron (Japan) (Demo)	6011dab0	1048576	Biomotor Unitron (USA, Europe)
Biomotor Unitron (USA, Europe)	3807df4f	1048576	Biomotor Unitron (USA, Europe)
Bust-A-Move Pocket (USA)	b073d601	1048576	Bust-A-Move Pocket (USA)
Bust-A-Move Pocket (USA) (Beta)	78a1361d	1048576	Bust-A-Move Pocket (USA)
Cool Boarders Pocket (Japan, Europe) (En,Ja)	2ed72635	1048576	Cool Boarders Pocket (Japan, Europe) (En,Ja)
Cool Cool Jam (Japan)	0fd6f378	2097152	Cool Cool Jam (Japan)
Cool Cool Jam (USA) (Proto)	4d8d27f0	2097152	Cool Cool Jam (Japan)
Crush Roller (World) (En,Ja)	f20ff9f2	1048576	Crush Roller (World) (En,Ja)
Dark Arms - Beast Buster 1999 (World) (En,Ja)	77caa548	2097152	Dark Arms - Beast Buster 1999 (World) (En,Ja)
Delta Warp (Japan) (Demo)	3bb899e8	1048576	Delta Warp (Japan) (En,Ja)
Delta Warp (Japan) (En,Ja)	1273b10e	1048576	Delta Warp (Japan) (En,Ja)
Densetsu no Ogre Battle Gaiden - Zenobia no Ouji (Japan)	eeeefd6a	2097152	Densetsu no Ogre Battle Gaiden - Zenobia no Ouji (Japan)
Densha de Go! 2 on NeoGeo Pocket (Japan)	a0334549	4194304	Densha de Go! 2 on NeoGeo Pocket (Japan)
Densha de Go! 2 on NeoGeo Pocket (Japan) (Demo)	2fc4623e	4194304	Densha de Go! 2 on NeoGeo Pocket (Japan)
Dive Alert - Becky's Version (USA, Europe)	83db5772	2097152	Dive Alert - Becky's Version (USA, Europe)
Dive Alert - Burn Hen (Japan)	c213941d	2097152	Dive Alert - Matt's Version (USA, Europe)
Dive Alert - Burn Hen (Japan) (Beta)	d9817a88	2097152	Dive Alert - Matt's Version (USA, Europe)
Dive Alert - Matt's Version (USA, Europe)	ef75081b	2097152	Dive Alert - Matt's Version (USA, Europe)
Dive Alert - Rebecca Hen (Japan)	3c4af4f5	2097152	Dive Alert - Becky's Version (USA, Europe)
Dokodemo Mahjong (Japan)	78c21b5e	524288	Dokodemo Mahjong (Japan)
Dynamite Slugger (Japan, Europe) (En,Ja)	7f1779cd	1048576	Dynamite Slugger (Japan, Europe) (En,Ja)
Evolution - Eternal Dungeons (Europe) (v03)	a60582f8	2097152	Evolution - Eternal Dungeons (Europe) (vA1)
Evolution - Eternal Dungeons (Europe) (vA1)	be47e531	2097152	Evolution - Eternal Dungeons (Europe) (vA1)
Fantastic Night Dreams - Cotton (Europe)	1bf412f5	1048576	Fantastic Night Dreams - Cotton (Europe)
Fantastic Night Dreams - Cotton (Japan)	b8a12409	1048576	Fantastic Night Dreams - Cotton (Europe)
Faselei! (Japan)	8f585838	2097152	Faselei! (USA, Europe)
Faselei! (USA, Europe)	e705e30e	2097152	Faselei! (USA, Europe)
Fatal Fury - First Contact - Pocket Fighting Series (World) (En,Ja)	e7e5d6e8	2097152	Fatal Fury - First Contact - Pocket Fighting Series (World) (En,Ja)
Ganbare Neo Poke-kun (Kari) (Japan)	6df986a3	2097152	Ganbare Neo Poke-kun (Kari) (Japan)
Infinity Cure (Japan)	32dc2aa2	1048576	Infinity Cure (Japan)
Kikou Seiki Unitron - Sono Tsuide. Hikari Umareru Chi Yori. (Japan)	f029f1c0	2097152	Kikou Seiki Unitron - Sono Tsuide. Hikari Umareru Chi Yori. (Japan)
King of Fighters R-2 - Pocket Fighting Series (Japan) (En,Ja) (Demo 1)	e3ae79c0	2097152	King of Fighters R-2 - Pocket Fighting Series (World) (En,Ja)
King of Fighters R-2 - Pocket Fighting Series (Japan) (En,Ja) (Demo 2)	76544c97	2097152	King of Fighters R-2 - Pocket Fighting Series (World) (En,Ja)
King of Fighters R-2 - Pocket Fighting Series (World) (En,Ja)	9bc63f27	2097152	King of Fighters R-2 - Pocket Fighting Series (World) (En,Ja)
King of Fighters, The - Battle de Paradise (Japan)	77e37bac	2097152	King of Fighters, The - Battle de Paradise (Japan)
Koi Koi Mahjong (Japan) (v08)	75fe164c	524288	Koi Koi Mahjong (Japan) (v0B)
Koi Koi Mahjong (Japan) (v0B)	b51c3eba	524288	Koi Koi Mahjong (Japan) (v0B)
Last Blade, The - Beyond the Destiny (USA, Europe)	4238a840	2097152	Last Blade, The - Beyond the Destiny (USA, Europe)
Magical Drop Pocket (Japan)	694ce2dc	1048576	Magical Drop Pocket (USA, Europe)
Magical Drop Pocket (Japan) (Demo)	d76f1a47	1048576	Magical Drop Pocket (USA, Europe)
Magical Drop Pocket (USA, Europe)	7712f82d	1048576	Magical Drop Pocket (USA, Europe)
Memories Off - Pure (Japan)	7f919dde	1048576	Memories Off - Pure (Japan)
Metal Slug - 1st Mission (World) (En,Ja)	d29ec1ba	2097152	Metal Slug - 1st Mission (World) (En,Ja)
Metal Slug - 2nd Mission (World) (En,Ja)	18e692a5	4194304	Metal Slug - 2nd Mission (World) (En,Ja)
Metal Slug - 2nd Mission (World) (En,Ja) (Demo)	8b1647d4	2097152	Metal Slug - 2nd Mission (World) (En,Ja)
Mezase! Kanji Ou (Japan)	a52e1c82	2097152	Mezase! Kanji Ou (Japan)
Mizuki Shigeru no Youkai Shashinkan (Japan)	dde08335	2097152	Mizuki Shigeru no Youkai Shashinkan (Japan)
Neo 21 - Pocket Casino Series (World)	95c38985	1048576	Neo 21 - Pocket Casino Series (World)
Neo Baccarat - Pocket Casino Series (Japan, Europe) (En) (Beta)	80880498	1048576	Neo Baccarat - Pocket Casino Series (Japan, Europe) (En) (v11)
Neo Baccarat - Pocket Casino Series (Japan, Europe) (En) (v11)	c8be28c0	1048576	Neo Baccarat - Pocket Casino Series (Japan, Europe) (En) (v11)
Neo Baccarat - Pocket Casino Series (Japan, Europe) (En) (v16)	22aab454	1048576	Neo Baccarat - Pocket Casino Series (Japan, Europe) (En) (v11)
Neo Cherry Master Color - Pocket Casino Series (World) (En,Ja)	2f6eb991	1048576	Neo Cherry Master Color - Pocket Casino Series (World) (En,Ja)
Neo Cherry Master Color - Pocket Casino Series (World) (En,Ja) (Demo)	1a288507	1048576	Neo Cherry Master Color - Pocket Casino Series (World) (En,Ja)
Neo Derby Champ Daiyosou (Japan)	4760564a	2097152	Neo Derby Champ Daiyosou (Japan)
Neo Dragon's Wild - Pocket Casino Series (World) (En,Ja) (v11)	225fd7f9	1048576	Neo Dragon's Wild - Pocket Casino Series (World) (En,Ja) (v13)
Neo Dragon's Wild - Pocket Casino Series (World) (En,Ja) (v13)	5d028c99	1048576	Neo Dragon's Wild - Pocket Casino Series (World) (En,Ja) (v13)
Neo Mystery Bonus - Pocket Casino Series (World) (En,Ja)	e79dc5b3	1048576	Neo Mystery Bonus - Pocket Casino Series (World) (En,Ja)
Neo Poke Pro Yakyuu (Japan) (v1F)	3ca883a5	1048576	Neo Poke Pro Yakyuu (Japan) (v1F)
Neo Poke Pro Yakyuu (Japan) (v32)	c624388f	1048576	Neo Poke Pro Yakyuu (Japan) (v1F)
Neo Turf Masters - Pocket Sports Series (World) (En,Ja)	e0e853dd	2097152	Neo Turf Masters - Pocket Sports Series (World) (En,Ja)
NeoGeo Cup '98 Plus Color - Pocket Sports Series (World) (En,Ja)	c0da4fe9	1048576	NeoGeo Cup '98 Plus Color - Pocket Sports Series (World) (En,Ja)
Nige-ron-pa (Japan)	a9063d9e	1048576	Nige-ron-pa (Japan)
Oekaki Puzzle (Japan)	a9118e82	524288	Picture Puzzle (Europe)
PP-AA01 - Pusher - Program - Hontai Controller Gawa (Japan)	78acdbcb	524288	PP-AA01 - Pusher - Program - Hontai Controller Gawa (Japan)
Pac-Man (World) (En,Ja)	21e8cc15	524288	Pac-Man (World) (En,Ja)
Pachi-Slot Aruze Oukoku - Porcano 2 (Japan)	96ddfbe3	1048576	Pachi-Slot Aruze Oukoku - Porcano 2 (Japan)
Pachi-Slot Aruze Oukoku Pocket - Azteca (Japan) (v03)	2314440a	524288	Pachi-Slot Aruze Oukoku Pocket - Azteca (Japan) (v06)
Pachi-Slot Aruze Oukoku Pocket - Azteca (Japan) (v04)	9ff16520	1048576	Pachi-Slot Aruze Oukoku Pocket - Azteca (Japan) (v06)
Pachi-Slot Aruze Oukoku Pocket - Azteca (Japan) (v06)	c9b55e6b	1048576	Pachi-Slot Aruze Oukoku Pocket - Azteca (Japan) (v06)
Pachi-Slot Aruze Oukoku Pocket - Dekahel 2 (Japan)	346f3c46	1048576	Pachi-Slot Aruze Oukoku Pocket - Dekahel 2 (Japan)
Pachi-Slot Aruze Oukoku Pocket - Delsol 2 (Japan)	1ea69db1	1048576	Pachi-Slot Aruze Oukoku Pocket - Delsol 2 (Japan)
Pachi-Slot Aruze Oukoku Pocket - Hanabi (Japan) (v03)	4014ff42	524288	Pachi-Slot Aruze Oukoku Pocket - Hanabi (Japan) (v03)
Pachi-Slot Aruze Oukoku Pocket - Hanabi (Japan) (v04)	2a4f45ab	1048576	Pachi-Slot Aruze Oukoku Pocket - Hanabi (Japan) (v03)
Pachi-Slot Aruze Oukoku Pocket - Hanabi (Japan) (v05)	a0c26f9b	524288	Pachi-Slot Aruze Oukoku Pocket - Hanabi (Japan) (v03)
Pachi-Slot Aruze Oukoku Pocket - Ohanabi (Japan)	8a88c50f	1048576	Pachi-Slot Aruze Oukoku Pocket - Ohanabi (Japan)
Pachi-Slot Aruze Oukoku Pocket - Ward of Lights (Japan) (v03)	d46cbc54	524288	Pachi-Slot Aruze Oukoku Pocket - Ward of Lights (Japan) (v03)
Pachi-Slot Aruze Oukoku Pocket - Ward of Lights (Japan) (v04)	a54ec305	1048576	Pachi-Slot Aruze Oukoku Pocket - Ward of Lights (Japan) (v03)
