#key	style	ss_system_id
Baseball Stars Color - Pocket Sports Series (World) (En,Ja)	box-2D	82
Big Bang Pro Wrestling (Japan) (En,Ja)	box-2D	82
Bikkuriman 2000 - Viva! Pocket Festival! (Japan)	box-2D	82
Biomotor Unitron (USA, Europe)	box-2D	82
Bust-A-Move Pocket (USA)	box-2D	82
Cool Boarders Pocket (Japan, Europe) (En,Ja)	box-2D	82
Cool Cool Jam (Japan)	box-2D	82
Crush Roller (World) (En,Ja)	box-2D	82
Dark Arms - Beast Buster 1999 (World) (En,Ja)	box-2D	82
Delta Warp (Japan) (En,Ja)	box-2D	82
Densetsu no Ogre Battle Gaiden - Zenobia no Ouji (Japan)	box-2D	82
Densha de Go! 2 on NeoGeo Pocket (Japan)	box-2D	82
Dive Alert - Becky's Version (USA, Europe)	box-2D	82
Dive Alert - Matt's Version (USA, Europe)	box-2D	82
Dokodemo Mahjong (Japan)	box-2D	82
Dynamite Slugger (Japan, Europe) (En,Ja)	box-2D	82
Evolution - Eternal Dungeons (Europe) (vA1)	box-2D	82
Fantastic Night Dreams - Cotton (Europe)	box-2D	82
Faselei! (USA, Europe)	box-2D	82
Fatal Fury - First Contact - Pocket Fighting Series (World) (En,Ja)	box-2D	82
Ganbare Neo Poke-kun (Kari) (Japan)	box-2D	82
Infinity Cure (Japan)	box-2D	82
Kikou Seiki Unitron - Sono Tsuide. Hikari Umareru Chi Yori. (Japan)	box-2D	82
King of Fighters R-2 - Pocket Fighting Series (World) (En,Ja)	box-2D	82
King of Fighters, The - Battle de Paradise (Japan)	box-2D	82
Koi Koi Mahjong (Japan) (v0B)	box-2D	82
Last Blade, The - Beyond the Destiny (USA, Europe)	box-2D	82
Magical Drop Pocket (USA, Europe)	box-2D	82
Memories Off - Pure (Japan)	box-2D	82
Metal Slug - 1st Mission (World) (En,Ja)	box-2D	82
Metal Slug - 2nd Mission (World) (En,Ja)	box-2D	82
Mezase! Kanji Ou (Japan)	box-2D	82
Mizuki Shigeru no Youkai Shashinkan (Japan)	box-2D	82
Neo 21 - Pocket Casino Series (World)	box-2D	82
Neo Baccarat - Pocket Casino Series (Japan, Europe) (En) (v11)	box-2D	82
Neo Cherry Master Color - Pocket Casino Series (World) (En,Ja)	box-2D	82
Neo Derby Champ Daiyosou (Japan)	box-2D	82
Neo Dragon's Wild - Pocket Casino Series (World) (En,Ja) (v13)	box-2D	82
Neo Mystery Bonus - Pocket Casino Series (World) (En,Ja)	box-2D	82
Neo Poke Pro Yakyuu (Japan) (v1F)	box-2D	82
Neo Turf Masters - Pocket Sports Series (World) (En,Ja)	box-2D	82
NeoGeo Cup '98 Plus Color - Pocket Sports Series (World) (En,Ja)	box-2D	82
Nige-ron-pa (Japan)	box-2D	82
PP-AA01 - Pusher - Program - Hontai Controller Gawa (Japan)	box-2D	82
Pac-Man (World) (En,Ja)	box-2D	82
Pachi-Slot Aruze Oukoku - Porcano 2 (Japan)	box-2D	82
Pachi-Slot Aruze Oukoku Pocket - Azteca (Japan) (v06)	box-2D	82
Pachi-Slot Aruze Oukoku Pocket - Dekahel 2 (Japan)	box-2D	82
Pachi-Slot Aruze Oukoku Pocket - Delsol 2 (Japan)	box-2D	82
Pachi-Slot Aruze Oukoku Pocket - Hanabi (Japan) (v03)	box-2D	82
Pachi-Slot Aruze Oukoku Pocket - Ohanabi (Japan)	box-2D	82
Pachi-Slot Aruze Oukoku Pocket - Ward of Lights (Japan) (v03)	box-2D	82
Pachi-Slot Aruze Oukoku Pocket - e-CUP (Japan) (v03)	box-2D	82
Pachinko Hisshou Guide - Pocket Parlor (Japan)	box-2D	82
Party Mail (Japan)	box-2D	82
Picture Puzzle (Europe)	box-2D	82
Pocket Love - if (Japan)	box-2D	82
Pocket Reversi (Europe) (vA1)	box-2D	82
Pocket Tennis Color - Pocket Sports Series (World) (En,Ja)	box-2D	82
Puyo Pop (USA) (En,Ja) (v06)	box-2D	82
Puzzle Link (USA, Europe)	box-2D	82
Puzzle Link 2 (USA, Europe)	box-2D	82
Rockman - Battle & Fighters (Japan)	box-2D	82
SNK Gals' Fighters (USA, Europe)	box-2D	82
SNK vs. Capcom - Card Fighters 2 - Expand Edition (Japan)	box-2D	82
SNK vs. Capcom - Card Fighters' Clash - Capcom Version (USA, Europe)	box-2D	82
SNK vs. Capcom - Card Fighters' Clash - SNK Version (USA, Europe)	box-2D	82
SNK vs. Capcom - Gekitotsu Card Fighters (Japan) (Demo)	box-2D	82
SNK vs. Capcom - The Match of the Millennium (World) (En,Ja)	box-2D	82
Samurai Shodown! 2 - Pocket Fighting Series (World) (En,Ja)	box-2D	82
Shanghai Mini (World) (En,Ja)	box-2D	82
Shougi no Tatsujin Color (Japan)	box-2D	82
Sonic The Hedgehog - Pocket Adventure (World) (En,Ja)	box-2D	82
Soreike!! Hanafuda Doujou (Japan)	box-2D	82
Super Real Mahjong - Premium Collection (Japan)	box-2D	82
