#key	synopsis
Baseball Stars Color - Pocket Sports Series (World) (En,Ja)	Baseball Stars Color ist ein Sportspiel über Baseball. Das Spiel ähnelt NESs „Baseball Stars“, verfügt jedoch über weniger realistische Charaktere und weniger realistisches Gameplay. Sie leiten Ihr eigenes Baseballteam und spielen eine Reihe von Spielen. Das Spiel folgt den typischen Baseballregeln: Ein Spieler wirft den Ball, der zweite schlägt den Ball, jemand fängt ihn usw. Jeder Charakter hat seine eigenen Statistiken.
Big Bang Pro Wrestling (Japan) (En,Ja)	Nur eine Handvoll Top-Wrestler können ihren Fans zu Hause ihr Gesicht im Fernsehen zeigen. Auf der I.E.W-Matte ist diese Regel keine Ausnahme. Bei einer seit 300 Jahren praktizierten Veranstaltung sind nur die besten Leistungen gefragt. In diesem Jahr kehrt der große König der I.E.W., Joseph Steel, zurück, um seinen Thron zu verteidigen. Die Geschichte von acht Top-Wrestlern, die um den größten Preis im Ring, den I.E.W-Champion-Gürtel, kämpfen, beginnt gleich ...
Biomotor Unitron (USA, Europe)	Nach dem Einschlag eines Meteoriten und dem Aufkommen einer neuen Energiequelle wurde der Bau von Riesenrobotern auf der ganzen Welt populär. Diese Roboter werden bei der Organisation von Arenakämpfen eingesetzt, um den höchsten Titel „Meister der Meister“ zu erlangen. Der Spieler verkörpert ein Charakter-Duo, das an diesen modernen Gladiatorenkämpfen teilnimmt. Wir können die beiden Protagonisten kontrollieren, wobei das Hauptziel darin besteht, Geld und Ausrüstung zu verdienen, um unseren Unitron zu verbessern. Es gibt mehr als 200 mögliche Waffenkombinationen, wobei jede Waffe Stärken und Schwächen hat. Die Kämpfe basieren wie bei vielen J-RPGs der damaligen Zeit auf einem Menü, aus dem man die gewünschte Aktion auswählt.
Bust-A-Move Pocket (USA)	Das klassische Spiel Bubble Bobble ist der Vorgänger von Puzzle Bobble. Ihr Ziel in jeder Stufe ist es, alle Blasen zu zerstören, indem Sie drei oder mehr derselben Farbe zerbrechen. Das Spiel enthält einen Zwei-Spieler-Modus, bei dem jeder Spieler zuerst versucht, alle Blasen zu zerstören.
Cool Boarders Pocket (Japan, Europe) (En,Ja)	Cool Boarders Pocket unterscheidet sich von anderen Spielen der Cool Boarders-Reihe. Es bietet eine isometrische (Luft-)Ansicht anstelle einer Third-Person-Perspektive. Das Spiel verfügt über zwei Spielmodi: einen Freeride-Modus, in dem der Spieler ohne Einschränkungen durch einen Hindernisparcours surft, bis er das Ziel erreicht, und einen Überlebensmodus, in dem der Spieler durch die Rennhindernisse surft, bis ihm die Gesundheit ausgeht. Das Spiel ermöglicht es dem Spieler, einen von zwei Charakteren auszuwählen; Eine Snowboarderin oder ein Snowboarder.
Cool Cool Jam (Japan)	Ein Junge und ein Mädchen werden für 1.000 Jahre in die Zukunft versetzt. Um nach Hause zurückzukehren, müssen sie eine beliebte und erfolgreiche Musikgruppe gründen. Das Spiel kann von einem oder zwei Spielern gespielt werden. Im Zwei-Spieler-Modus spielt sich das Spiel wie ein Duo. Die Spieler spielen abwechselnd und erhalten am Ende eine Nachricht. Das Spiel verfügt außerdem über einen Einzelspieler-Story-Modus, der Abenteuerspielelemente enthält. Im Spiel können verschiedene Instrumente verwendet werden. Jedes Instrument hat einen anderen Spielstil.
Crush Roller (World) (En,Ja)	Crush Roller ist ein Spiel für den Neo Geo Pocket Color, das auf dem Arcade-Spiel Make Trax aus dem Jahr 1981 basiert, das in Europa und Asien als Crush Roller veröffentlicht wurde. Ziel des Spiels ist es, das gesamte Labyrinth mit einem Pinsel auszumalen. Während du malst, laufen zwei Feinde durch das Labyrinth. Wenn sie dich treffen, verlierst du ein Leben. Auf einer Ebene befinden sich Rollen, die Sie mit Ihrer Bürste nach vorne schieben können. Wenn Sie einen Feind gefangen nehmen, stirbt dieser und ist vorübergehend aus dem Spiel. Dies bringt Ihnen zusätzliche Punkte. Hin und wieder taucht ein anderes Lebewesen auf, das Spuren in Ihrem Gemälde hinterlässt. Wenn das gesamte Labyrinth vollständig bemalt ist, haben Sie gewonnen. Im Gegensatz zur Arcade-Version verfügt die Neo Geo Pocket Color-Version über mehrere Level.
Dark Arms - Beast Buster 1999 (World) (En,Ja)	Dark Arms: Beast Buster 1999 ist ein Rollenspiel für Neo Geo Pocket Color. Es ist ein Spin-off des Arcade-Spiels Beast Busters. Parallel zu unserer Welt finden wir das Reich der Dunkelheit. Als Spieler erhalten Sie Zugang zu dieser Paralleldimension, nachdem Sie einen Pakt mit dem Meister des Dunklen Reiches unterzeichnet haben. In seinem Königreich soll man Monster fangen. Diese werden verwendet, um Ihre biologischen Waffen anzutreiben: Dark Arms. Deine Waffen gewinnen mit jedem verzehrten Monster an Fähigkeiten und können sich zu stärkerer Ausrüstung entwickeln. Sie können im Dunklen Reich auch Samen finden, die sich in neue Waffen verwandeln. Das Spiel bietet Rätsel, die gelöst werden müssen, und eine große Auswahl an Monstern/Untoten.
Dive Alert - Becky's Version (USA, Europe)	Dive Alert – Becky's Version ist ein Rollenspiel. Es gibt eine andere Version von Dive Alert namens Dive Alert: Matt's Version. Beide Spiele ähneln eher der Pokémon-Serie (Rot/Blau usw.), bei der es sich im Wesentlichen um das gleiche Spiel mit kleinen Unterschieden handelt. Der Spieler übernimmt die Kontrolle über eine Figur namens Becky. Das Spiel spielt in der Zukunft und die Welt ist größtenteils von Wasser umgeben. Das einzige Land ist ein kleiner Ort namens Terra. Um auf Terra akzeptiert zu werden, muss der Spieler seinen Wert unter Beweis stellen, indem er seine Fähigkeiten als U-Boot-Kommandant unter Beweis stellt und alle feindlichen Schiffe zerstört.
Dive Alert - Matt's Version (USA, Europe)	Dive Alert – Matt's Version ist ein Rollenspiel. Es gibt eine andere Version von Dive Alert namens Dive Alert: Becky's Version. Beide Spiele ähneln eher der Pokémon-Serie (Rot/Blau usw.), bei der es sich im Wesentlichen um das gleiche Spiel mit kleinen Unterschieden handelt. Der Spieler übernimmt die Kontrolle über einen Charakter namens Matt. Das Spiel spielt in der Zukunft und die Welt ist größtenteils von Wasser umgeben. Das einzige Land ist ein kleiner Ort namens Terra. Um auf Terra akzeptiert zu werden, muss der Spieler seinen Wert unter Beweis stellen, indem er seine Fähigkeiten als U-Boot-Kommandant unter Beweis stellt und alle feindlichen Schiffe zerstört.
Dynamite Slugger (Japan, Europe) (En,Ja)	Dynamite Slugger ist ein Videospiel. Es wurde im Jahr 2000 für die Handheld-Spielekonsole Neo Geo Pocket Color veröffentlicht. Das Spiel ähnelt anderen Baseball-Videospielen auf dem Neo Geo Pocket Color wie Baseball Stars und Baseball Stars Color. Da Dynamite Slugger das neueste Baseball-Videospiel ist, das für den Neo Geo Pocket Color veröffentlicht wurde, bietet es eine bessere Grafik als andere Sporttitel.
Evolution - Eternal Dungeons (Europe) (vA1)	Eine tragbare Version von Evolution: The World of Sacred Device. Eternal Dungeon erzählt die Geschichte des jungen Entdeckers Mag Launcher und seiner Suche nach dem legendären Evolutia, einem Gegenstand von immenser Macht. Die Grundvoraussetzung des Spiels besteht darin, Quests rund um die Stadt zu erfüllen, dann eine Gruppe zusammenzustellen und zu versuchen, die vielen Dungeons des Spiels zu räumen, Ihre Charaktere zu zermahlen und die Beute und Erfahrung zu sammeln, die Sie brauchen, um das Spiel voranzubringen. Planen und kaufen Sie Gegenstände, Ausrüstung, und Upgrades für deinen Cy-Frame, einen Roboteraufsatz, der es Mag ermöglicht, ihre Kampffähigkeiten zu verbessern. Wie für eine tragbare Version zu erwarten war, wurde das Gameplay im Vergleich zur ursprünglichen Dreamcast-Version erheblich herabgestuft. Die Stadtnavigation erfolgt menügesteuert und alle Grafiken sind jetzt von oben nach unten gerichtete 2D-Sprites, wobei alle Dungeons vorab entworfen und nicht mehr zufällig generiert werden. Der Kampf läuft rundenbasiert ab und nutzt ein Menüsystem, aus dem Sie Ihre Aktionen für jedes Gruppenmitglied (bis zu 3) auswählen und ausführen, ohne dass sich sonst etwas ändert.
Fantastic Night Dreams - Cotton (Europe)	Fantastic Night Dreams Cotton ist ein 2D-Side-Scrolling-Shooter, in dem der Spieler die Rolle der jungen Hexe Cotton übernimmt, die sich auf ihrem magischen Besen auf die Suche nach ihren Lieblingssüßigkeiten macht. Zum Glück für uns führt ihre Besessenheit sie auf den Weg mehrerer bedrohlicher Schrecken, die sie zerstören muss. Das Spiel verfügt über ein Erfahrungssystem, bei dem der Spieler seine Waffe mit den gesammelten Kraftkristallen umso mehr verbessern kann, je mehr Feinde er tötet. Der Spieler kann seine Waffen auch für Spezialangriffe aufladen.
