#key	synopsis
Baseball Stars Color - Pocket Sports Series (World) (En,Ja)	Baseball Stars Color is sports game about baseball. Game is similar to Baseball Stars from NES but has less realistic characters and gameplay's style. You manage own baseball team and play in series of matches. Game has typical baseball rules - one player throws the ball, second hits the ball, someone else grabs it etc. Each character has own statistics
Big Bang Pro Wrestling (Japan) (En,Ja)	Only a handful of top wrestlers can be show their face on the TV for their fans at home. In the I.E.W mat, this rule is no exception. In an event practiced for 300 years, only the best performances are in demand. This year, the great king of the I.E.W, Joseph Steel, returns to defend his throne. The story of eight top wrestlers competing for the greatest prize on the ring, the I.E.W champion belt, is about to begin...
Bikkuriman 2000 - Viva! Pocket Festival! (Japan)	The game is a collection of mini-games. The player selects Sei Tenshi Takeru or Tenjo P?chi (Takeru only in the NeoGeo Pocket Color version) to move around a park and play the attractions. One of the mini-games is free and can be used to gain coins, with other attractions requiring coins to participate. The player gains more coins according to their score in the games, and in some attractions a rare seal can be obtained. Besides being used to participate in mini-games, the coins can be spent in slot machines to obtain seals from the Bug Akuma vs. Giga Tenshi Seal series, which can later be seen in a museum. At first only a few mini-games are available, with more being unlocked by completing objectives.
Biomotor Unitron (USA, Europe)	Biomotor Unitron is a RPG for the Neo Geo Pocket Color. After a meteor brings a new source of energy to the world, the construction of giant robots begins. These robots are used for entertainment and fight in arena fights against one-another for the title Master of Masters. You play a duo of characters that participates in these gladiator battles. You can control both characters and have to explore and perform quests to earn money and items to upgrade your Unitron robot with. You can talk to inhabitants of the city and buy new items at stores. The Unitron changes visibly when you apply upgrades and a great deal of upgrades are at hand. Over two hundred different weapon configurations are possible. Each weapon and part has a certain material and element. Fire weapons will work better against wooden robots than water-based robots. Beneath the city there are large dungeons where most quests will have to be solved and most items will be found. The battles are like in Pokémon, completely menu based. You pick whatever powers you want to use from a drop-down list.
Bust-A-Move Pocket (USA)	The classic game Bubble Bobble is the ancestor of Puzzle Bobble. Your aim in each stage is to break all the bubbles, by breaking 3 or more of the same color. The game contains a two-player mode where each player tries to break all bubbles first.
Cool Boarders Pocket (Japan, Europe) (En,Ja)	Cool Boarders Pocket differs to other games in the Cool Boarders series. It features an isometric (overhead) view instead of a third-person perspective. The game features two play modes a free-ride mode where the player navigates an obstacle course with no restrictions until he/she reaches the goal, and a survival mode where the player snowboards through the obstacle course until they run out of health. The game allows the player to choose one of two characters; a female or male snowboarder.
Cool Cool Jam (Japan)	Cool Cool Jam is a rhythm video game which appeared on the Neo Geo Pocket Color in 2000. Cool Cool Jam is comparable in gameplay to other rhythm games such as: PaRappa the Rapper, Donkey Konga or Beatmania. The storyline involves a boy and a girl who are transported 1,000 years into the future. To return home they must form a successful and popular music band. The game can be played by one or two players. In two player mode the game plays like a duet; the players take it in turn to play tune and receive a message after completion. The game also features a single player storymode which has adventure game elements. Various instruments can be played in the game. Each instrument has a different playing style. The instruments include: Clapping to a beat - a bar moves across the screen the player taps a button when they see a red dot. If successful the dot glows. Violin - The player taps either the A or B when a red light (button A) or a green light (button B) appears. The power can be altered by moving the joystick up and down. Bluesharp - The player moves the joystick to coincide with the position of the lights. The player then pushes A or B depending whether a red or green light appears. Guitar - The player pushes A or B to play the strings and the joystick controls the pick. Saxophone - The player moves the joystick and the buttons to control the pitch as the symbols appear on screen. Trumpet - The player moves the joystick in four directions to change the pitch to coincide with the coloured symbols. The player then pushes A or B when the marker appears. A bar indicates air pressure. Guitar 2 - Plays the same as the previous Guitar game only upside down.
Crush Roller (World) (En,Ja)	Crush Roller is a game for the Neo Geo Pocket Color based on the 1981 arcade game Make Trax, which was released as Crush Roller in Europe and Asia. The object of the game is to color the entire maze-like playing field with a paint brush. While you paint, two enemies walk around in the maze, when they hit you, you lose a life. A level has rollers which you can push forward with your paint brush. If you capture an enemy in the path of the roller he dies and is temporarily taken out of the game. This scores you extra points. Each subsequent enemy rolled over is worth more points. Every once in a while another creature will pop up, it will run around leaving behind track marks in your paint. Painting over this creature removes it from the game and scores you additional points. His tracks have to be repainted. When the entire maze is painted you win the level. Unlike the original arcade version the Neo Geo Pocket Color version has multiple levels.
Dark Arms - Beast Buster 1999 (World) (En,Ja)	Dark Arms: Beast Buster 1999 is a RPG for the Neo Geo Pocket Color. It's a spin-off from the arcade game Beast Busters. Parallel to our world we find the Dark Realm. As the player, you find access to this parallel dimension after signing a pact with the Master of the Dark Realm. In his realm, you are supposed to catch monsters. These can be fed to your biological weapons: Dark Arms. You weapons gain abilities from consumed monsters and can evolve into more powerful equipment. You can also find seeds in the Dark Realm that turn into new weapons. The game features puzzles that have to be solved and a wide array of undead monsters that can be fed to your Dark Arms.
Delta Warp (Japan) (En,Ja)	Delta Warp is a puzzle game released in 2000 for the Neo Geo Pocket Color. The game involves the player moving triangular shaped tiles across a board whilst avoiding hazards such as ice. Delta Warp was released only in Japan but features English text menus and the simple gameplay style means it can be played by non-Japanese readers.
