#key	synopsis
Baseball Stars Color - Pocket Sports Series (World) (En,Ja)	Baseball Stars Color es un juego de deportes sobre béisbol. El juego es similar a Baseball Stars de NES pero tiene personajes y estilo de juego menos realistas. Manejas tu propio equipo de béisbol y juegas en series de partidos. El juego tiene las reglas típicas del béisbol: un jugador lanza la pelota, el segundo golpea la pelota, alguien más la agarra, etc. Cada personaje tiene sus propias estadísticas.
Big Bang Pro Wrestling (Japan) (En,Ja)	Solo un puñado de los mejores luchadores pueden mostrar su rostro en la televisión para sus fanáticos en casa. En el tapete I.E.W, esta regla no es una excepción. En un evento practicado durante 300 años, solo se demandan las mejores actuaciones. Este año, el gran rey del I.E.W, Joseph Steel, regresa para defender su trono. La historia de los ocho mejores luchadores que compiten por el mayor premio en el ring, el cinturón de campeón de I.E.W, está a punto de comenzar ...
Bikkuriman 2000 - Viva! Pocket Festival! (Japan)	El juego es una colección de minijuegos. El jugador selecciona Sei Tenshi Takeru o Tenjo P? Chi (Takeru solo en la versión NeoGeo Pocket Color) para moverse por un parque y jugar las atracciones. Uno de los minijuegos es gratuito y se puede usar para ganar monedas, mientras que otras atracciones requieren monedas para participar. El jugador gana más monedas según su puntuación en los juegos, y en algunas atracciones se puede obtener un sello raro. Además de usarse para participar en minijuegos, las monedas se pueden gastar en máquinas tragamonedas para obtener sellos de la serie Bug Akuma vs.Giga Tenshi Seal, que luego se podrán ver en un museo. Al principio, solo hay unos pocos minijuegos disponibles, y se desbloquean más al completar los objetivos.
Biomotor Unitron (USA, Europe)	Biomotor Unitron es un juego de rol para Neo Geo Pocket Color. Después de que un meteoro trae una nueva fuente de energía al mundo, comienza la construcción de robots gigantes. Estos robots se utilizan para el entretenimiento y luchan en peleas en la arena entre sí por el título de Maestro de Maestros. Juegas con un dúo de personajes que participa en estas batallas de gladiadores. Puedes controlar a ambos personajes y tienes que explorar y realizar misiones para ganar dinero y artículos con los que actualizar tu robot Unitron. Puedes hablar con los habitantes de la ciudad y comprar nuevos artículos en las tiendas. El Unitron cambia visiblemente cuando aplica actualizaciones y hay una gran cantidad de actualizaciones a mano. Son posibles más de doscientas configuraciones de armas diferentes. Cada arma y pieza tiene un determinado material y elemento. Las armas de fuego funcionarán mejor contra robots de madera que contra robots a base de agua. Debajo de la ciudad hay grandes mazmorras donde se deberán resolver la mayoría de las misiones y se encontrarán la mayoría de los elementos.
Bust-A-Move Pocket (USA)	El juego clásico Bubble Bobble es el ancestro de Puzzle Bobble. Tu objetivo en caa pantalla es hacer estallar todas las burbujas juntando 3 o más del mismo color. El juego incluye un modo para dos jugadores en el que cada jugador intenta hacer estallar todas sus burbujas el primero.
Cool Boarders Pocket (Japan, Europe) (En,Ja)	Cool Boarders Pocket se diferencia de otros juegos de la serie Cool Boarders. Cuenta con una vista isométrica (aérea) en lugar de una perspectiva en tercera persona. El juego presenta dos modos de juego: un modo de viaje gratuito en el que el jugador navega por una carrera de obstáculos sin restricciones hasta que alcanza la meta, y un modo de supervivencia donde el jugador hace snowboard a través de la carrera de obstáculos hasta que se queda sin salud. El juego permite al jugador elegir uno de dos personajes; un snowboarder femenino o masculino.
Cool Cool Jam (Japan)	Cool Cool Jam es un videojuego de ritmo con instrumentos musicales publicado para la Neo Geo Pocket Color en 2000. Cool Cool Jam es similar en su experiencia de juego a otros títulos como: PaRappa the Rapper, Donkey Konga o Beatmania. La historia trata sobre un chico y una chica que son transportados 1,000 años en el futuro. Para regresar a su hogar deben formar una banda musical que sea exitosa y popular.
Crush Roller (World) (En,Ja)	Crush Roller es un juego para Neo Geo Pocket Color basado en el juego de arcade de 1981 Make Trax, que fue lanzado como Crush Roller en Europa y Asia. El objetivo del juego es colorear todo el campo de juego en forma de laberinto con un pincel. Mientras pintas, dos enemigos caminan por el laberinto, cuando te golpean, pierdes una vida. Un nivel tiene rodillos que puede empujar hacia adelante con su pincel. Si capturas a un enemigo en el camino del rodillo, muere y queda temporalmente fuera del juego. Esto le otorga puntos extra. Cada enemigo subsiguiente volcado vale más puntos. De vez en cuando aparecerá otra criatura, correrá dejando marcas en tu pintura. Pintar sobre esta criatura la elimina del juego y te otorga puntos adicionales. Sus huellas tienen que ser repintadas. Cuando todo el laberinto está pintado, ganas el nivel. A diferencia de la versión arcade original, la versión Neo Geo Pocket Color tiene múltiples niveles.
Dark Arms - Beast Buster 1999 (World) (En,Ja)	Dark Arms: Beast Buster 1999 es un juego de rol para Neo Geo Pocket Color. Es un derivado del juego de arcade Beast Busters. Paralelo a nuestro mundo encontramos el Reino Oscuro. Como jugador, tienes acceso a esta dimensión paralela después de firmar un pacto con el Maestro del Reino Oscuro. En su reino, se supone que debes atrapar monstruos. Estos se pueden alimentar a sus armas biológicas: Dark Arms. Tus armas obtienen habilidades de monstruos consumidos y pueden evolucionar a equipos más poderosos. También puedes encontrar semillas en el Reino Oscuro que se convierten en nuevas armas. El juego presenta acertijos que deben resolverse y una amplia gama de monstruos no muertos que pueden alimentarse con Dark Arms.
Delta Warp (Japan) (En,Ja)	Delta Warp es un juego de puzles lanzado en el año 2000 para el Neo Geo Pocket Color. El juego consiste en mover fichas de forma triangular a través de un tablero mientras se evitan peligros como el hielo. Delta Warp fue lanzado sólo en Japón, pero cuenta con menús de texto en inglés y el estilo de juego simple significa que puede ser jugado por lectores no japoneses.
Densetsu no Ogre Battle Gaiden - Zenobia no Ouji (Japan)	Una historia paralela al juego original Ogre Battle para SNES, la historia paralela de Zenobia no Ouji tiene lugar durante el decimocuarto capítulo (&quot;La capital de Milán&quot;) del juego original. Al igual que su predecesor, el juego es una combinación única de juegos de rol y estrategia tradicionales. Como héroe del juego, lideras un creciente ejército de tropas a medida que avanzas en el juego en una serie de batallas fundamentales. Antes de cada batalla, tienes la opción de organizar tu ejército en grupos distintos. Luego, se le asigna una misión en el mapa y luego puede configurar su ejército para que cumpla sus órdenes. A medida que sus grupos de unidades viajen a lo largo del mapa en el camino hacia su objetivo dado, pasarán junto a los grupos de unidades enemigos. Cuando se encuentran, el juego cambia a una vista isométrica de la batalla automatizada por turnos que sigue.
Densha de Go! 2 on NeoGeo Pocket (Japan)	La secuela de 1998 del popular juego de conducción de trenes japonés de Taito ha sido nuevamente trasladada a varios sistemas domésticos. Por primera vez en PlayStation, es posible conducir por la nieve y sentarse en la cabina de un tren bala Shinkansen. El juego es más arcade que simulación. La atención se centra en detenerse en las estaciones en el momento y la posición perfectos, seguir el horario, obedecer las señales y los límites de velocidad, y garantizar la seguridad y la comodidad de los pasajeros. Los errores dan lugar a la deducción de puntos de un contador. Si llega a 0, el juego termina. Las siguientes rutas están disponibles: 1. Línea Hokuhoku desde Naoetsu a Uragawara 2. Tohoku Shinkansen desde Morioka a Shin-Hanamaki 3. Akita Shinkansen desde Akita a Omagari 4. Línea Keihin-Tohoku desde Shinagawa a Ueno 5. Línea Osaka Loop desde Osaka a Tennoji (no en el Arcade original) 6. Línea principal de Kagoshima de Hakata a Kokura (solo en las versiones de PlayStation y Windows)
Dive Alert - Becky's Version (USA, Europe)	Dive Alert: Becky's Version es un juego de rol para Neo Geo Pocket Color. Hay otra versión de Dive Alert llamada Dive Alert: Matt's Version. Los dos juegos son como los lanzamientos conjuntos de Pokémon (rojo / azul, etc.) en los que en general son el mismo juego con una variedad de diferencias más pequeñas. El jugador toma el control de un personaje llamado Becky. El juego tiene lugar en el futuro y el mundo está rodeado principalmente de agua. La única tierra es un pequeño parche llamado Terra. El jugador debe demostrar su valía para ser aceptado en Terra demostrando su habilidad como comandante de submarinos y destruyendo naves enemigas. La versión de Becky presenta diferentes personajes, elementos y barcos de la versión de Matt. Estos se registran en un dispositivo similar a una Pokédex (de Pokémon). Las batallas tienen lugar contra barcos enemigos y se usa una vista de radar para ayudar al jugador a guiar los torpedos hacia los barcos enemigos. Gran parte del juego está basado en texto con escenas animadas.
Dive Alert - Matt's Version (USA, Europe)	El jugador toma el control de un personaje llamado Matt. El juego se desarrolla en el futuro y el mundo está rodeado principalmente de agua. La única pequeña parcela de tierra llamada se llama Terra. El jugador debe demostrar su valía para ser aceptado en Terra demostrando su habilidad como comandante de submarinos y destruyendo naves enemigas. La versión de Matt presenta diferentes personajes, elementos y barcos a la versión de Becky. Estos se registran en un dispositivo similar a una Pokédex. Las batallas tienen lugar contra otros barcos. Se utiliza una vista de radar para ayudar a los jugadores a guiar torpedos contra el enemigo. Una gran parte del juego se basa en texto con escenas animadas. Dos jugadores pueden conectarse con el cable para luchar, intercambiar barcos y acumular otros datos.
Dokodemo Mahjong (Japan)	Doko Demo Mahjong es un juego misceláneo, desarrollado y publicado por ADK, que fue lanzado en Japón en 1999. Juego de Mahjong en el que participas en partidas de 4 jugadores y juegas por dinero. El juego termina una vez que se agota nuestra bodega inicial.
Dynamite Slugger (Japan, Europe) (En,Ja)	Dynamite Slugger es un videojuego lanzado en el año 2000 para la consola portátil Neo Geo Pocket Color. El juego es similar a otros videojuegos de baseball para la Neo Geo Pocket Color como Baseball Stars y Baseball Stars Color. Dado que Dynamite Slugger fue el último videojuego de baseball lanzado para la Neo Geo Pocket Color, éste tiene mejores gráficos que los otros títulos deportivos antes mencionados.
Evolution - Eternal Dungeons (Europe) (vA1)	Adaptación portable de &quot;Evolution: The World of Sacred Device&quot;. Eternal Dungeon cuenta la historia del joven explorador Mag Launcher y su búsqueda de la legendaria Evolutia, un objeto de inmenso poder. La premisa básica del juego es aceptar misiones en la ciudad y organizar un grupo para intentar superar las diferentes mazmorras del juego, subiendo de nivel a tus personajes y obteniendo el botín y experiencia necesarios para avanzar en la historia y comprar objetos, equipo y mejoras para tu Cy-frame, una equipación robótica que permite a Mag mejorar sus habilidades de combate. Como cabía esperar de la versión portátil, la jugabilidad ha sido reducida considerablemente frente a la versión original de Dreamcast. La navegación en ciudad está basada en menús y los gráficos son ahora sprites 2D en vista cenital, con todas las mazmorras pre-diseñadas en vez de generadas aleatoriamente. El combate está basado en turnos usando un sistema de menús desde el que seleccionas tus acciones para cada miembro del grupo (hasta 3) y las ejecutas, pero sigue siendo igual para todo lo demás.
Fantastic Night Dreams - Cotton (Europe)	Fantastic Night Dreams: Cotton es un juego de disparos de desplazamiento lateral en 2D en el que el jugador asume el papel de la joven bruja Cotton, que se embarca en su escoba mágica en busca de su dulce favorito. Afortunadamente para nosotros, su obsesión la mete en el camino de varios terrores que amenazan el mundo y que debe destruir en la tarifa estándar de un tirador. El juego presenta un sistema de obtención de experiencia en el que cuantos más enemigos mata el jugador, más puede mejorar su arma recolectando cristales de poder. Los jugadores también pueden cargar su arma para ataques especiales y obtener la ayuda de Silk, el hada mágico amigo de Cotton que puede formar en diferentes configuraciones de &quot;opciones&quot;.
Faselei! (USA, Europe)	¡Faselei! es uno de los últimos títulos que se lanzaron para Neo Geo Pocket Color e incluso presenta letras digitalizadas para el tema principal del juego. Con mucha historia, este juego de rol de estrategia tiene lugar en una época en la que los mechs conocidos como TS son el arma preferida para el combate. El juego gira en torno a las batallas y la personalización de tu TS entre esas batallas. Las batallas se basan en parte por turnos y en parte en tiempo real. El jugador introduce sus acciones al comienzo del turno. La cantidad de acciones que pueden ingresar depende de su tipo de TS. Una vez que han terminado su selección, todo se juega en tiempo real durante el turno. Esto hace que pensar en lo que harán tus oponentes y aliados de antemano sea esencial antes de tomar tu turno.
