#key	synopsis
Baseball Stars Color - Pocket Sports Series (World) (En,Ja)	Baseball Stars Color est un jeu de sport sur le baseball. Le jeu est semblable à Baseball Stars de NES mais a des personnages et un gameplay moins réalistes. Vous gérez votre propre équipe de baseball et jouez des série de matchs. Le jeu a les règles typiques du baseball - un joueur jette le ballon, le deuxième frappe la balle, quelqu'un l'attrape, etc. Chaque personnage a ses propres statistiques.
Big Bang Pro Wrestling (Japan) (En,Ja)	Big Bang Pro Wrestling est un jeu developpé par SNK et S-NEO, pour la NGPC. C'est l'un des rare jeu destiné au marché japonais à inclure une optaion de langue &quot;Anglaise&quot;. 4 modes de jeu sont disponible. L'habituel &quot;Story Mode&quot;, ou le joueur doit battre 7 autres catcheurs avant d'affronter Joseph. Le &quot;one Match&quot; et le '&quot;Tournament Mode&quot;, qui permet des affrontements contre l'IA avec diverses options de modification comme la limite de temps, les couleurs du ring, la difficulté, etc... Et enfin le &quot;VS mode&quot; possible entre 2 possesseurs de NGPC.
Bikkuriman 2000 - Viva! Pocket Festival! (Japan)	Ce jeu est collection de Mini-jeux, de plus en plus nombreux à force de les debloquer via l'atteinte d'objectifs/challenge. Le joueur l'un des 2 personnage : Sei Tenshi Takeru ou Tenjo P?chi (Takeru n'etant disponible que NeoGeo Pocket Color) et se ballade a l'interieur d'un park d'attractions. L'un des mini-jeux est &quot;gratuit&quot; et permet de gagner de la monnaie pour utiliser tous les autres mini-jeux. Plus le score est elevé, plus les gains de pieces sont important, et dans quelques jeux des &quot;Artwork speciaux&quot; peuvent etre obtenues. En dehors de leur utilisation principale les pieces peuvent servir à jouer dans des machines-a-sous pour tenter d'obtenir des &quot;Artwork&quot; de la serie &quot;Bug Akuma vs. Giga Tenshi Seal&quot;, que l'on pourra par la suite revoir dans un musée (in game).
Biomotor Unitron (USA, Europe)	Suite à la chute d'une météorite et l?avènement d'une nouvelle source d?énergie, la construction de Robots Géant s'est démocratisé à travers le monde. Ces robots sont utilisés dans l'organisation de combats d?arènes, pour obtenir le titre suprême de &quot;Master of Masters&quot;. Le joueur incarne un duo de personnages qui participent justement dans ces combats de gladiateurs moderne. On peut avoir le contrôle sur les 2 protagonistes, le but premier étant de gagner de l'argent et de l?équipement pour améliorer notre Unitron. On dénombre plus de 200 combinaisons d'armement possible, chaque armes ayant des forces et faiblesses. Les combats sont comme beaucoup de J-RPG de l?époque, a base de menu dans lequel on sélectionne l'action voulu.
Bust-A-Move Pocket (USA)	Puzzle Bobble Mini (aussi appelé Bust-A-Move Pocket) est une version NGPC de la license Puzzle Bobble. On se rapproche beaucoup de Puzzle Bobble 2 sorti sur Playstation. 3 modes de jeu sont disponible : - Puzzle Mode, ou l'on doit nettoyer l'ecran le plus rapidement possible (les scores peuvent meme etre sauvegardés) - Survivor Mode, ou l'on doit reussir a tenir le plus longtemps possible sans que les bulles ne touchent le bas de l'ecran. - vs CPU Mode, ou l'on peut jouer contre un des 8 personnages disponible, dirigé par l'IA
Cool Boarders Pocket (Japan, Europe) (En,Ja)	Cool Boarders Pocket diffère des autres jeux de la série Cool Boarders. Il comporte une vue isométrique (aérienne) au lieu d'une perspective à la troisième personne. Le jeu dispose de deux modes de jeu un mode free-ride où le joueur surf sur un parcours d'obstacles sans restrictions jusqu'à ce qu'il atteigne l'objectif, et un mode de survie où le joueur surf à travers la course d'obstacles jusqu'à ce qu'ils manquent de santé. Le jeu permet au joueur de choisir l'un des deux caractères; Un snowboardeur féminin ou masculin.
Cool Cool Jam (Japan)	Un garçon et une fille sont transportés dans le futur pendant 1 000 ans. Pour rentrer chez eux, ils doivent former un groupe de musique populaire et prospère. Le jeu peut être joué par un ou deux joueurs. En mode deux joueurs, le jeu se déroule comme un duo. les joueurs jouent à tour de rôle et reçoivent un message à la fin. Le jeu propose également un mode d'histoire à un joueur qui contient des éléments de jeu d'aventure. Divers instruments peuvent être utilisés dans le jeu. Chaque instrument a un style de jeu différent.
Crush Roller (World) (En,Ja)	Crush Roller est un jeu pour le Neo Geo Pocket Color basé sur le jeu d'arcade de 1981 Make Trax, qui a été publié comme Crush Roller en Europe et en Asie. Le but du jeu est de colorer l'ensemble du labyrinthe avec un pinceau. Pendant que vous peignez, deux ennemis se promènent dans le labyrinthe, quand ils vous frappent, vous perdez une vie. Un niveau a des rouleaux que vous pouvez pousser vers l'avant avec votre pinceau. Si vous capturez un ennemi , il meurt et est temporairement sorti du jeu. Cela vous marque des points supplémentaires. De temps en temps, une autre créature apparaîtra, elle fonctionnera en laissant derrière vous des marques de pas dans votre peinture. Lorsque le labyrinthe entier est complètement peint, vous gagnez. Contrairement à la version arcade, la version Neo Geo Pocket Color a plusieurs niveaux.
Dark Arms - Beast Buster 1999 (World) (En,Ja)	Dark Arms: Beast Buster 1999 est un RPG pour la Neo Geo Pocket Color. C'est un spin-off du jeu d'arcade Beast Busters. Parallèlement à notre monde, nous trouvons le Royaume des Ténèbres. En tant que joueur, vous avez accès à cette dimension parallèle après avoir signé un pacte avec le Maître du Royaume des Ténèbres. Dans son royaume, vous êtes censé attraper des monstres. Ceux-ci servent à alimentés à vos armes biologiques: Dark Arms. Vos armes gagnent en capacités à chaque monstre consommé et peuvent évoluer en un équipement plus puissant. Vous pouvez également trouver des graines dans le Royaume des Ténèbres qui se transforment en nouvelles armes. Le jeu dispose de puzzles qui doivent être résolus et un large éventail de monstres / morts-vivants.
Delta Warp (Japan) (En,Ja)	Delta Warp est un jeu de réflexion de type Puzzle. Le joueur déplace des tuiles de formes triangulaires sur un plateau tout en évitant les dangers tels que la glace. Delta Warp est sorti uniquement au Japon mais propose des menus en anglais.
Densetsu no Ogre Battle Gaiden - Zenobia no Ouji (Japan)	Ogre Battle: Legend of the Zenobia Prince (Densetsu no Oga Batoru Gaiden Zenobia no Oji, Sidestory to Legendary Ogre Battle: The Zenobia Prince) est un Tactical RPG developpé par Quest et SNK pour la NGPC. C'est le seul titre de la serie &quot;Ogre Battle&quot; exclusif au marché japonais, du a un arret de la commercialisation de la NGPC en dehors du Japon. Le jeu nous permet de suivre une parallele au titre Ogre Battle : March of the Black Queen, et prend place lors de la quete du Prince Tristan. En dehors des zones de jeu et des nouvelles classes, le gameplay et le style graphique sont quasi identique au titre original Ogre Battle : March of the Black Queen.
Densha de Go! 2 on NeoGeo Pocket (Japan)	Densha de GO! 2 est le portage NGPC de la version Arcade. Simulation de train, qui sur tous les autres support quasiment, necessite un controleur adapté, surprend par son originalité et la fidelité du gameplay! A savoir, emmener votre train d'une station à une autre en respectant le a durée du trajet et les arrets! Parfaitement pensé pour le support, on se retrouve avec 2 mode de jeu : - Le mode Arcade, avec la modelisation de 6 routes de train réelles Japonaise a la difficultés croissante - Le mode Original avec une route aleatoire et surtout des conditions de circulations aléatoire affectant grandement la conduite (Brouillard, pluie, neige, etc...) La rejouabilité est donc très bonne, car chaque route necessite une attention differente selon les conditions météo.
Dive Alert - Becky's Version (USA, Europe)	Dive Alert - Becky's Version est un RPG. Il existe une autre version de Dive Alert appelée Dive Alert: Matt's Version. Les deux jeux sont plutôt comme la série des Pokemon (Rouge / Bleu, etc) où ils sont sensiblement le même jeu avec de petites différences. Le joueur prend le contrôle d'un personnage nommé Becky. Le jeu a lieu dans le futur et le monde est principalement entouré par de l'eau. La seule terre est un petit endroit appelé Terra. Le joueur doit prouver sa valeur pour être accepté sur Terra en montrant ses compétence en tant que commandant de sous-marin et détruire tous les navires ennemis.
Dive Alert - Matt's Version (USA, Europe)	Dive Alert - Matt's Version est un RPG. Il existe une autre version de Dive Alert appelée Dive Alert: Becky's Version. Les deux jeux sont plutôt comme la série des Pokemon (Rouge / Bleu, etc) où ils sont sensiblement le même jeu avec de petites différences. Le joueur prend le contrôle d'un personnage nommé Matt. Le jeu a lieu dans le futur et le monde est principalement entouré par de l'eau. La seule terre est un petit endroit appelé Terra. Le joueur doit prouver sa valeur pour être accepté sur Terra en montrant ses compétence en tant que commandant de sous-marin et détruire tous les navires ennemis.
