#key	synopsis
Baseball Stars Color - Pocket Sports Series (World) (En,Ja)	Baseball Stars Color è un gioco sportivo sul baseball. Il gioco è simile a Baseball Stars di NES ma ha personaggi e stile di gioco meno realistici. Gestisci la tua squadra di baseball e giochi in serie di partite. Il gioco ha regole tipiche del baseball: un giocatore lancia la palla, il secondo colpisce la palla, qualcun altro la afferra ecc. Ogni personaggio ha le proprie statistiche.
Big Bang Pro Wrestling (Japan) (En,Ja)	Solo una manciata di top wrestler può mostrare il loro volto in TV per i loro fan a casa. Nel tappetino I.E.W, questa regola non fa eccezione. In un evento praticato da 300 anni, sono richieste solo le migliori prestazioni. Quest'anno, il grande re dell'I.E.W., Joseph Steel, torna a difendere il suo trono. La storia di otto lottatori di alto livello che competono per il più grande premio sul ring, la cintura di campione I.E.W, sta per iniziare...
Bikkuriman 2000 - Viva! Pocket Festival! (Japan)	Il gioco è una raccolta di mini-giochi. Il giocatore seleziona Sei Tenshi Takeru o Tenjo P?chi (Takeru solo nella versione NeoGeo Pocket Color) per muoversi in un parco e giocare le attrazioni. Uno dei minigiochi è gratuito e può essere utilizzato per guadagnare monete, con altre attrazioni che richiedono monete per partecipare. Il giocatore guadagna più monete in base al proprio punteggio nei giochi, e in alcune attrazioni è possibile ottenere un sigillo raro. Oltre ad essere utilizzate per partecipare a mini-giochi, le monete possono essere spese nelle slot machine per ottenere sigilli dalla serie Bug Akuma vs. Giga Tenshi Seal, che possono essere successivamente visti in un museo. All'inizio sono disponibili solo pochi minigiochi, con altri che vengono sbloccati completando gli obiettivi.
Biomotor Unitron (USA, Europe)	Dopo la caduta di un meteorite e l'avvento di una nuova fonte di energia, la costruzione di robot giganti è diventata democratizzata in tutto il mondo. Questi robot vengono utilizzati nell'organizzazione di combattimenti nell'arena, per ottenere il titolo supremo di &quot;Master of Masters&quot;. Il giocatore incarna un duo di personaggi che partecipano proprio a questi moderni combattimenti gladiatori. Possiamo avere il controllo sui 2 protagonisti, l'obiettivo principale è quello di guadagnare denaro e attrezzature per migliorare il nostro Unitron. Ci sono più di 200 possibili combinazioni di armi, ogni arma ha punti di forza e di debolezza. I combattimenti sono come molti J-RPG dell'epoca, in base al menu in cui si seleziona l'azione desiderata.
Bust-A-Move Pocket (USA)	Il classico gioco Bubble Bobble è l'antenato di Puzzle Bobble. Il tuo obiettivo in ogni fase è quello di rompere tutte le bolle, rompendone 3 o più dello stesso colore. Il gioco contiene una modalità a due giocatori in cui ogni giocatore cerca di rompere prima tutte le bolle.
Cool Boarders Pocket (Japan, Europe) (En,Ja)	Cool Boarders Pocket si differenzia dagli altri giochi della serie Cool Boarders. È dotato di una vista isometrica (dall'alto) invece di una prospettiva in terza persona. Il gioco presenta due modalità di gioco: una modalità free-ride in cui il giocatore naviga in un percorso a ostacoli senza restrizioni fino a raggiungere l'obiettivo, e una modalità di sopravvivenza in cui il giocatore fa snowboard attraverso il percorso a ostacoli fino a quando non esaurisce la salute. Il gioco permette al giocatore di scegliere uno dei due personaggi; uno snowboarder femmina o maschio.
Cool Cool Jam (Japan)	Un ragazzo e una ragazza vengono trasportati nel futuro per 1.000 anni. Per tornare a casa, devono formare un gruppo musicale popolare e di successo. Il gioco può essere giocato da uno o due giocatori. In modalità a due giocatori, il gioco si svolge come un duo. I giocatori si alternano e ricevono un messaggio alla fine. Il gioco presenta anche una modalità storia per giocatore singolo che contiene elementi di gioco di avventura. Vari strumenti possono essere utilizzati nel gioco. Ogni strumento ha uno stile di esecuzione diverso.
Crush Roller (World) (En,Ja)	Crush Roller è un gioco per Neo Geo Pocket Color basato sul gioco arcade del 1981 Make Trax, che è stato rilasciato come Crush Roller in Europa e in Asia. Lo scopo del gioco è quello di colorare l'intero campo di gioco labirintico con un pennello. Mentre dipingi, due nemici camminano nel labirinto, quando ti colpiscono, perdi una vita. Un livello ha rulli che puoi spingere in avanti con il tuo pennello. Se si cattura un nemico nel percorso del rullo, muore e viene temporaneamente eliminato dal gioco. Questo ti fa guadagnare punti extra. Ogni nemico successivo ribaltato vale più punti. Ogni tanto apparirà un'altra creatura, correrà in giro lasciando segni di tracce nella tua vernice. Dipingere su questa creatura la rimuove dal gioco e ti fa guadagnare punti aggiuntivi. Le sue tracce devono essere ridipinte. Quando l'intero labirinto è dipinto si vince il livello. A differenza della versione arcade originale, la versione Neo Geo Pocket Color ha più livelli.
Dark Arms - Beast Buster 1999 (World) (En,Ja)	Dark Arms: Beast Buster 1999 è un gioco di ruolo per Neo Geo Pocket Color. È uno spin-off del gioco arcade Beast Busters. Parallelamente al nostro mondo troviamo il Regno Oscuro. Come giocatore, trovi l'accesso a questa dimensione parallela dopo aver firmato un patto con il Maestro del Regno Oscuro. Nel suo regno, dovresti catturare mostri. Questi possono essere dati in pasto alle tue armi biologiche: Dark Arms. Le tue armi acquisiscono abilità dai mostri consumati e possono evolvere in equipaggiamento più potente. Puoi anche trovare semi nel Regno Oscuro che si trasformano in nuove armi. Il gioco presenta enigmi che devono essere risolti e una vasta gamma di mostri non morti che possono essere dati in pasto alle tue Dark Arms.
Delta Warp (Japan) (En,Ja)	Delta Warp è un videogioco rompicapo pubblicato nel 2000 per Neo Geo Pocket Color. Il gioco prevede che il giocatore sposti tessere di forma triangolare su un tabellone evitando pericoli come il ghiaccio. Delta Warp è stato rilasciato solo in Giappone, ma presenta menu di testo in inglese e il semplice stile di gioco significa che può essere giocato da lettori non giapponesi.
