#key	name	year	genre	developer	players
Baseball Stars - Pocket Sports Series (Japan, Europe) (En,Ja)	Baseball Stars	1999	Sports / Baseball/Sports	Saurus	1-2
King of Fighters R-1 - Pocket Fighting Series (Japan, Europe) (En,Ja)	King Of Fighters R-1	1999	Fighting / Versus/Fighting	SNK	1-2
King of Fighters R-1 - Pocket Kakutou Series & Melon-chan no Seichou Nikki (Japan) (Demo)	King Of Fighters R-1	1999	Fighting / Versus/Fighting	SNK	1-2
Melon-chan no Seichou Nikki (Japan)	Melon Chan's Growth Diary	1998	Simulation / Life/Simulation	ADK	1
Neo Cherry Master - Real Casino Series (Japan) (En,Ja)	Neo Cherry Master	1998	Casino / Slot machine/Casino	Dyna	1
NeoGeo Cup '98 (Japan, Europe) (En,Ja)	Neo Geo Cup '98 Plus	1999	Sports / Football (Soccer)/Sports	SNK	1-2
Pocket Tennis - Pocket Sports Series (Japan, Europe) (En,Ja)	Pocket Tennis	1999	Sports / Tennis/Sports	Yumekobo	1-2
Renketsu Puzzle Tsunagete Pon! (Japan)	Puzzle Link	1998	Puzzle	Yumekobo	1-2
Samurai Shodown! - Pocket Fighting Series (Japan, Europe) (En,Ja)	Samurai Shodown!	1998	Fighting / Versus/Fighting	Saurus	1-2
Shougi no Tatsujin (Japan)	Shougi no Tatsujin: Master of Syougi	1998	Asiatic board game/Shougi/Strategy	ADK	1-2
