#name	crc	size	key
Baseball Stars - Pocket Sports Series (Japan, Europe) (En,Ja)	caa3a827	1048576	Baseball Stars - Pocket Sports Series (Japan, Europe) (En,Ja)
King of Fighters R-1 - Pocket Fighting Series (Japan, Europe) (En,Ja)	dceb7e11	2097152	King of Fighters R-1 - Pocket Fighting Series (Japan, Europe) (En,Ja)
King of Fighters R-1 - Pocket Kakutou Series & Melon-chan no Seichou Nikki (Japan) (Demo)	aedd3584	2097152	King of Fighters R-1 - Pocket Kakutou Series & Melon-chan no Seichou Nikki (Japan) (Demo)
Melon-chan no Seichou Nikki (Japan)	c4e58fd2	1048576	Melon-chan no Seichou Nikki (Japan)
Neo Cherry Master - Real Casino Series (Japan) (En,Ja)	d5b4696c	1048576	Neo Cherry Master - Real Casino Series (Japan) (En,Ja)
NeoGeo Cup '98 (Japan, Europe) (En,Ja)	33add5bd	1048576	NeoGeo Cup '98 (Japan, Europe) (En,Ja)
Pocket Tennis - Pocket Sports Series (Japan, Europe) (En,Ja)	4b1eed05	524288	Pocket Tennis - Pocket Sports Series (Japan, Europe) (En,Ja)
Renketsu Puzzle Tsunagete Pon! (Japan)	ce09f534	524288	Renketsu Puzzle Tsunagete Pon! (Japan)
Samurai Shodown! - Pocket Fighting Series (Japan, Europe) (En,Ja)	32e4696a	2097152	Samurai Shodown! - Pocket Fighting Series (Japan, Europe) (En,Ja)
Shougi no Tatsujin (Japan)	f34d0c9b	524288	Shougi no Tatsujin (Japan)
