#key	style	ss_system_id
Baseball Stars - Pocket Sports Series (Japan, Europe) (En,Ja)	box-2D	25
King of Fighters R-1 - Pocket Fighting Series (Japan, Europe) (En,Ja)	box-2D	25
King of Fighters R-1 - Pocket Kakutou Series & Melon-chan no Seichou Nikki (Japan) (Demo)	box-2D	25
Melon-chan no Seichou Nikki (Japan)	box-2D	25
Neo Cherry Master - Real Casino Series (Japan) (En,Ja)	box-2D	25
NeoGeo Cup '98 (Japan, Europe) (En,Ja)	box-2D	25
Pocket Tennis - Pocket Sports Series (Japan, Europe) (En,Ja)	box-2D	25
Renketsu Puzzle Tsunagete Pon! (Japan)	box-2D	25
Samurai Shodown! - Pocket Fighting Series (Japan, Europe) (En,Ja)	box-2D	25
Shougi no Tatsujin (Japan)	box-2D	25
