#key	synopsis
Baseball Stars - Pocket Sports Series (Japan, Europe) (En,Ja)	Baseball Stars ist ein Sportspiel über Baseball. Das Spiel ähnelt Baseball Stars auf dem NES, verfügt jedoch über weniger realistische Charaktere und ein eigenes Gameplay. Sie leiten Ihr eigenes Baseballteam und spielen eine Reihe von Spielen. Das Spiel hat typische Baseball-Regeln – ein Spieler wirft den Ball, der zweite schlägt ihn, jemand anderes fängt ihn usw. Jeder Charakter hat seine eigenen Statistiken, wie z. B. Ausdauer.
King of Fighters R-1 - Pocket Fighting Series (Japan, Europe) (En,Ja)	SNK bringt die KOF-Serie zum ersten Mal auf eine tragbare Konsole ... und welches System wäre dafür besser geeignet als das Neo Geo Pocket? 14 der berühmtesten Charaktere von KOF tauchen in KOF: R-1 auf, mit einigen erkennbaren Hintergründen und Gameplay-Features, die auf The King of Fighters '97 basieren. Spieler können zwischen den Spielmodi „Extra“ und „Advance“ wählen, ähnlich denen in KOF '97, und die meisten Charaktere sind wie in der Originalversion spielbar.
King of Fighters R-1 - Pocket Kakutou Series & Melon-chan no Seichou Nikki (Japan) (Demo)	SNK bringt die KOF-Serie zum ersten Mal auf eine tragbare Konsole ... und welches System wäre dafür besser geeignet als das Neo Geo Pocket? 14 der berühmtesten Charaktere von KOF tauchen in KOF: R-1 auf, mit einigen erkennbaren Hintergründen und Gameplay-Features, die auf The King of Fighters '97 basieren. Spieler können zwischen den Spielmodi „Extra“ und „Advance“ wählen, ähnlich denen in KOF '97, und die meisten Charaktere sind wie in der Originalversion spielbar.
Melon-chan no Seichou Nikki (Japan)	Melon-chan no Seichouki ist ein Lebenssimulationsspiel, vergleichbar mit Tamagotchi und anderen virtuellen Lebenssimulationsspielen. In diesem Spiel zieht der Spieler das kleine Mädchen Melon Chan groß und füttert es. Das Spiel wurde nur in Japan veröffentlicht und war einer der ersten Titel, die auf dem Neo Geo Pocket veröffentlicht wurden. Das Spiel wurde erstmals auf dem Neo Geo Pocket veröffentlicht und verfügt über monochrome Grafiken, das Neo Geo Pocket Color ist jedoch abwärtskompatibel mit dem Spiel.
Neo Cherry Master - Real Casino Series (Japan) (En,Ja)	Neo Cherry Master ist ein virtueller Spielautomatensimulator für den Neo Geo Pocket. Das Spiel simuliert die altmodischen Obst-Matching-Slots (bekannt als „einarmige Banditen“), bei denen der Spieler einfach „den Hebel zieht“ und den Rest dem Zufall überlässt. Das Spiel verfügt über zwei Modi, den einfachen und den ursprünglichen Modus. Der einzige Unterschied besteht darin, dass letzterer die Eingabe von Namen und die Möglichkeit zum Speichern von Highscores ermöglicht.
NeoGeo Cup '98 (Japan, Europe) (En,Ja)	Im Story-Modus wählen Sie ein Team aus, das zu den besten der Welt gehört, mit dem Ziel, den berühmten Neo Geo Cup zu gewinnen. Dies ist jedoch nicht einfach und der Gewinn des Titels wird viele Stunden intensiver Kämpfe erfordern. Bei jeder Begegnung erhalten Sie eine bestimmte Anzahl an Punkten, die Sie dann im Store verwenden können, was einen erheblichen RPG-Aspekt hinzufügt. Durch den Kauf von Shorts, Stollen, Trikots und vielen anderen Artikeln aus einer bestimmten Auswahl steigern Sie die Fähigkeiten Ihres Teams nach mehreren Kriterien und machen Ihre Spieler schneller oder geschickter vor dem Tor.
Pocket Tennis - Pocket Sports Series (Japan, Europe) (En,Ja)	Pocket Tennis ist ein einfaches Tennisspiel mit zwei Spielmodi: Exhibition und Tournament. Exhibition ist ein Einzelspiel gegen den Computer oder einen anderen Gegner (erfordert ein Verbindungskabel). Es gibt acht Charaktere mit unterschiedlichen Fähigkeiten und vier verschiedenen Terrains (fünf in der Farbversion). Die Dauer der Spiele kann ebenfalls ausgewählt werden (1, 3 oder 5). Das Turnier wird ausschließlich gegen den Computer gespielt. Der Spieler kann seinen Charakter wählen, nicht jedoch seinen Gegner. Es werden drei Spiele ausgetragen: Viertelfinale, Halbfinale und natürlich das Finale.
Renketsu Puzzle Tsunagete Pon! (Japan)	Renketsu Puzzle Tsunagete Pon! ist ein Spiel, bei dem Blöcke aufgelöst werden müssen. Ständig scrollen neue Blöcke von oben über den Bildschirm. Das Spiel endet, wenn die ersten Blöcke den unteren Bildschirmrand erreichen.
Samurai Shodown! - Pocket Fighting Series (Japan, Europe) (En,Ja)	Samurai Shodown! Pocket ist im Wesentlichen eine „tragbare“ Version von Samurai Shodown 4. Ähnlich wie bei anderen Kampfspielen auf dem Neo Geo Pocket sind die Charaktere im Super Deformed Chibi-Stil gezeichnet (große Köpfe und winzige Körper). Dieser Titel war auch eines der ersten Spiele für das Neo Geo Pocket, daher gab es das Spiel nur in Schwarzweiß ... Das Gameplay von Samurai Shodown ist ziemlich gut an die Handheld-Version angepasst, macht aber nicht so viel Spaß wie der Neo-Geo-Klassiker. Das Gameplay ist in dieser Version sehr vereinfacht. Die Charaktere behalten die meisten ihrer Spezialbewegungen und Moves bei, aber die tiefgreifenden Arcade-spezifischen Strategien sind fast verschwunden. Im Grunde ist es ein neues Spiel, das zwar in keiner Weise spektakulär ist, aber Spaß macht.
Shougi no Tatsujin (Japan)	Shogi ist das japanische Äquivalent von Schach. Tatsächlich besteht das Ziel des Spiels wie beim Schach darin, den gegnerischen König schachmatt zu setzen! Allerdings gibt es einige Unterschiede zwischen Shogi und unserem Schachspiel, sei es in der Art der Figuren, ihrer Position oder ihren Bewegungen.
