#key	synopsis
Baseball Stars - Pocket Sports Series (Japan, Europe) (En,Ja)	Baseball Stars is sports game about baseball. Game is similar to Baseball Stars from NES but has less realistic characters and gameplay's style. You manage own baseball team and play in series of matches. Game has typical baseball rules - one player throws the ball, second hits the ball, someone else grabs it etc. Each character has own statistics, like stamina.
King of Fighters R-1 - Pocket Fighting Series (Japan, Europe) (En,Ja)	The King of Fighters: R1 marks SNK's first time bringing the KOF series onto a handheld... and what better system than their own Neo Geo Pocket to do just that? 14 of the most well known KOF characters make their appearance in KOF: R-1, along with some recognizable backgrounds and gameplay features based on The King of Fighters '97. Players can choose from &quot;Extra&quot; & &quot;Advance&quot; play modes similar to KOF '97, and most characters play closely to their original versions.
King of Fighters R-1 - Pocket Kakutou Series & Melon-chan no Seichou Nikki (Japan) (Demo)	The King of Fighters: R1 marks SNK's first time bringing the KOF series onto a handheld... and what better system than their own Neo Geo Pocket to do just that? 14 of the most well known KOF characters make their appearance in KOF: R-1, along with some recognizable backgrounds and gameplay features based on The King of Fighters '97. Players can choose from &quot;Extra&quot; & &quot;Advance&quot; play modes similar to KOF '97, and most characters play closely to their original versions.
Melon-chan no Seichou Nikki (Japan)	Melon Chan's Growth Diary (Japan: Melon-chan no Seichouki) is a Life simulation game it is comparable to Tamagotchi and other virtual life simulations. In Melon Chan's Growth Diary the player raises and nurtures little girl Melon Chan. The games was only released in Japan and was one of the earliest titles released for the Neo Geo Pocket. The game was released for the Neo Geo Pocket and features monochrome graphics; however the Neo Geo Pocket Color is backwards compatible with the game.
Neo Cherry Master - Real Casino Series (Japan) (En,Ja)	Neo Cherry Master is a virtual slot machine simulator for the Neo Geo Pocket. The game simulates the old fashioned fruit-matching slots (infamously known as one-armed bandits), where the player simply &quot;pulls the lever&quot; and leaves the rest up to chance. The game features two modes, Simple and Original mode, with the only difference being that the latter allows for name entry and the ability to save high scores.
NeoGeo Cup '98 (Japan, Europe) (En,Ja)	In the story mode you choose a team among the best in the world with the objective of winning the famous Neo Geo Cup. However, this is no easy task and winning the title will require long hours of intense matches. Each match will give you a certain number of points that can be used in the store, which adds a little RPG touch. Buying shorts, cleats, jerseys and many other items from a given selection will increase your team's abilities according to several criteria and make your players faster or more skilled in front of the goal.
Pocket Tennis - Pocket Sports Series (Japan, Europe) (En,Ja)	Pocket Tennis a simple tennis game with two play modes: Exhibition and Tournament. Exhibition is a single match against computer or human opponent (requires link cable). There do exist eight player characters with different skills (human player must select one of those eight characters too) and four (five in the color version) different courts. Also amount of sets per game can be selected (1, 3 or 5). Tournament is only against computer. Human player can pick his/her character but not the computer opponent. Also selection of courts and amount of sets is missing. Three games will be played: quarter and semifinals and of course the final.
Renketsu Puzzle Tsunagete Pon! (Japan)	Renketsu Puzzle Tsunagete Pon! is a game where blocks have to be dissolved. New blocks constantly scroll into the screen from the top. The game is over when the first blocks reach the bottom of the screen.
Samurai Shodown! - Pocket Fighting Series (Japan, Europe) (En,Ja)	Samurai Shodown! Pocket is essentially a &quot;portable&quot; version of Samurai Shodown 4. Like the other fighting games on the Neo Geo Pocket, the characters are drawn in Super Deformed chibi style (big heads and tiny bodies). This title was also one of the first games for the Neo Geo Pocket, so the game was only in black and white... The gameplay of Samurai Shodown is quite well adapted in the pocket version, but it is not as enjoyable as the Neo Geo classic. The gameplay is very simplified in this version. The characters keep most of their special moves and moves, but the deep strategies of the arcade are almost gone. It's basically a new game that, while not spectacular, is fun.
Shougi no Tatsujin (Japan)	Shogi is the Japanese equivalent of chess. Indeed, as in chess, the goal of the game is to subdue the opposing king! Nevertheless, there are several differences between the Shogi and our chess game, be it in the nature of the pieces, their positions or their movements.
