#key	synopsis
Baseball Stars - Pocket Sports Series (Japan, Europe) (En,Ja)	Baseball Stars è un gioco sportivo sul baseball. Il gioco è simile a Baseball Stars di NES ma ha personaggi e stile di gioco meno realistici. Gestisci la tua squadra di baseball e giochi in serie di partite. Il gioco ha regole tipiche del baseball: un giocatore lancia la palla, il secondo colpisce la palla, qualcun altro la afferra ecc. Ogni personaggio ha le proprie statistiche, come la resistenza.
King of Fighters R-1 - Pocket Fighting Series (Japan, Europe) (En,Ja)	The King of Fighters: R1 segna la prima volta che SNK porta la serie KOF su un palmare... e quale sistema migliore del proprio Neo Geo Pocket per fare proprio questo? 14 dei personaggi più noti di KOF fanno la loro comparsa in KOF: R-1, insieme ad alcuni sfondi riconoscibili e caratteristiche di gioco basate su The King of Fighters '97. I giocatori possono scegliere tra le modalità di gioco &quot;Extra&quot; e &quot;Advance&quot; simili a KOF '97, e la maggior parte dei personaggi gioca vicino alle loro versioni originali.
King of Fighters R-1 - Pocket Kakutou Series & Melon-chan no Seichou Nikki (Japan) (Demo)	The King of Fighters: R1 segna la prima volta che SNK porta la serie KOF su un palmare... e quale sistema migliore del proprio Neo Geo Pocket per fare proprio questo? 14 dei personaggi più noti di KOF fanno la loro comparsa in KOF: R-1, insieme ad alcuni sfondi riconoscibili e caratteristiche di gioco basate su The King of Fighters '97. I giocatori possono scegliere tra le modalità di gioco &quot;Extra&quot; e &quot;Advance&quot; simili a KOF '97, e la maggior parte dei personaggi gioca vicino alle loro versioni originali.
Melon-chan no Seichou Nikki (Japan)	Melon Chan's Growth Diary (Giappone: Melon-chan no Seichouki) è un gioco di simulazione di vita paragonabile al Tamagotchi e ad altre simulazioni di vita virtuale. In Melon Chan's Growth Diary il giocatore cresce e nutre la bambina Melon Chan. Il gioco è stato rilasciato solo in Giappone ed è stato uno dei primi titoli rilasciati per Neo Geo Pocket. Il gioco è stato rilasciato per Neo Geo Pocket e presenta una grafica monocromatica; tuttavia il Neo Geo Pocket Color è retrocompatibile con il gioco.
Neo Cherry Master - Real Casino Series (Japan) (En,Ja)	Neo Cherry Master è un simulatore di slot machine virtuale per Neo Geo Pocket. Il gioco simula le vecchie slot di abbinamento della frutta (famigerate note come banditi con un braccio solo), in cui il giocatore semplicemente &quot;tira la leva&quot; e lascia il resto al caso. Il gioco presenta due modalità, semplice e originale, con l'unica differenza che quest'ultima consente l'inserimento del nome e la possibilità di salvare i punteggi più alti.
NeoGeo Cup '98 (Japan, Europe) (En,Ja)	Nella modalità storia scegli una squadra tra le migliori al mondo con l'obiettivo di vincere la famosa Neo Geo Cup. Tuttavia, questo non è un compito facile e vincere il titolo richiederà lunghe ore di partite intense. Ogni partita ti darà un certo numero di punti che possono essere utilizzati nel negozio, il che aggiunge un piccolo tocco RPG. L'acquisto di pantaloncini, tacchetti, maglie e molti altri oggetti da una determinata selezione aumenterà le capacità della tua squadra in base a diversi criteri e renderà i tuoi giocatori più veloci o più abili davanti alla porta.
Pocket Tennis - Pocket Sports Series (Japan, Europe) (En,Ja)	Pocket Tennis un semplice gioco di tennis con due modalità di gioco: Esibizione e Torneo. L'esibizione è una singola partita contro un avversario umano o un computer (richiede un cavo di collegamento). Esistono otto personaggi con abilità diverse (il giocatore umano deve selezionare anche uno di questi otto personaggi) e quattro (cinque nella versione a colori) campi diversi. È possibile selezionare anche la quantità di set per partita (1, 3 o 5). Il torneo è solo contro il computer. Il giocatore umano può scegliere il suo personaggio ma non l'avversario del computer. Manca anche la selezione dei campi e la quantità di set. Si giocheranno tre partite: quarti e semifinali e ovviamente la finale.
Renketsu Puzzle Tsunagete Pon! (Japan)	Renketsu Puzzle Tsunagete Pon! è un gioco in cui i blocchi devono essere sciolti. Nuovi blocchi scorrono costantemente nello schermo dall'alto. Il gioco è finito quando i primi blocchi raggiungono la parte inferiore dello schermo.
Samurai Shodown! - Pocket Fighting Series (Japan, Europe) (En,Ja)	Samurai Shodown! Pocket è essenzialmente una versione &quot;portatile&quot; di Samurai Shodown 4. Come gli altri giochi di combattimento su Neo Geo Pocket, i personaggi sono disegnati in stile chibi Super Deformed (teste grandi e corpi minuscoli). Questo titolo è stato anche uno dei primi giochi per Neo Geo Pocket, quindi il gioco era solo in bianco e nero... Il gameplay di Samurai Shodown è abbastanza ben adattato nella versione tascabile, ma non è divertente come il classico Neo Geo. Il gameplay è molto semplificato in questa versione. I personaggi mantengono la maggior parte delle loro mosse e mosse speciali, ma le strategie profonde dell'arcade sono quasi sparite. È fondamentalmente un nuovo gioco che, sebbene non spettacolare, è divertente.
Shougi no Tatsujin (Japan)	Shogi è l'equivalente giapponese degli scacchi. Infatti, come negli scacchi, l'obiettivo del gioco è sottomettere il re avversario! Tuttavia, ci sono diverse differenze tra lo Shogi e il nostro gioco degli scacchi, sia nella natura dei pezzi, nelle loro posizioni o nei loro movimenti.
